time_s,level_rise_m,level_rise_cm
27.30,0.00029,0.029
27.37,0.00029,0.029
27.43,0.00029,0.029
27.50,0.00030,0.030
27.57,0.00030,0.030
27.64,0.00030,0.030
27.71,0.00030,0.030
27.77,0.00030,0.030
27.84,0.00030,0.030
27.91,0.00030,0.030
27.98,0.00031,0.031
28.04,0.00031,0.031
28.11,0.00031,0.031
28.18,0.00031,0.031
28.25,0.00031,0.031
28.32,0.00031,0.031
28.38,0.00031,0.031
28.45,0.00032,0.032
28.52,0.00032,0.032
28.59,0.00032,0.032
28.65,0.00032,0.032
28.72,0.00032,0.032
28.79,0.00032,0.032
28.86,0.00033,0.033
28.93,0.00033,0.033
28.99,0.00033,0.033
29.06,0.00033,0.033
29.13,0.00033,0.033
29.20,0.00033,0.033
29.26,0.00034,0.034
29.33,0.00034,0.034
29.40,0.00034,0.034
29.47,0.00034,0.034
29.53,0.00034,0.034
29.60,0.00034,0.034
29.67,0.00034,0.034
29.74,0.00035,0.035
29.81,0.00035,0.035
29.87,0.00035,0.035
29.94,0.00035,0.035
30.01,0.00035,0.035
30.08,0.00035,0.035
30.14,0.00036,0.036
30.21,0.00036,0.036
30.28,0.00036,0.036
30.35,0.00036,0.036
30.42,0.00036,0.036
30.48,0.00036,0.036
30.55,0.00037,0.037
30.62,0.00037,0.037
30.69,0.00037,0.037
30.75,0.00037,0.037
30.82,0.00037,0.037
30.89,0.00037,0.037
30.96,0.00038,0.038
31.02,0.00038,0.038
31.09,0.00038,0.038
31.16,0.00038,0.038
31.23,0.00038,0.038
31.30,0.00038,0.038
31.36,0.00039,0.039
31.43,0.00039,0.039
31.50,0.00039,0.039
31.57,0.00039,0.039
31.63,0.00039,0.039
31.70,0.00040,0.040
31.77,0.00040,0.040
31.84,0.00040,0.040
31.91,0.00040,0.040
31.97,0.00040,0.040
32.04,0.00040,0.040
32.11,0.00041,0.041
32.18,0.00041,0.041
32.24,0.00041,0.041
32.31,0.00041,0.041
32.38,0.00041,0.041
32.45,0.00041,0.041
32.51,0.00042,0.042
32.58,0.00042,0.042
32.65,0.00042,0.042
32.72,0.00042,0.042
32.79,0.00042,0.042
32.85,0.00043,0.043
32.92,0.00043,0.043
32.99,0.00043,0.043
33.06,0.00043,0.043
33.12,0.00043,0.043
33.19,0.00043,0.043
33.26,0.00044,0.044
33.33,0.00044,0.044
33.40,0.00044,0.044
33.46,0.00044,0.044
33.53,0.00044,0.044
33.60,0.00045,0.045
33.67,0.00045,0.045
33.73,0.00045,0.045
33.80,0.00045,0.045
33.87,0.00045,0.045
33.94,0.00045,0.045
34.00,0.00046,0.046
34.07,0.00046,0.046
34.14,0.00046,0.046
34.21,0.00046,0.046
34.28,0.00046,0.046
34.34,0.00047,0.047
34.41,0.00047,0.047
34.48,0.00047,0.047
34.55,0.00047,0.047
34.61,0.00047,0.047
34.68,0.00048,0.048
34.75,0.00048,0.048
34.82,0.00048,0.048
34.89,0.00048,0.048
34.95,0.00048,0.048
35.02,0.00049,0.049
35.09,0.00049,0.049
35.16,0.00049,0.049
35.22,0.00049,0.049
35.29,0.00049,0.049
35.36,0.00050,0.050
35.43,0.00050,0.050
35.49,0.00050,0.050
35.56,0.00050,0.050
35.63,0.00050,0.050
35.70,0.00050,0.050
35.77,0.00051,0.051
35.83,0.00051,0.051
35.90,0.00051,0.051
35.97,0.00051,0.051
36.04,0.00051,0.051
36.10,0.00052,0.052
36.17,0.00052,0.052
36.24,0.00052,0.052
36.31,0.00052,0.052
36.38,0.00052,0.052
36.44,0.00053,0.053
36.51,0.00053,0.053
36.58,0.00053,0.053
36.65,0.00053,0.053
36.71,0.00054,0.054
36.78,0.00054,0.054
36.85,0.00054,0.054
36.92,0.00054,0.054
36.98,0.00054,0.054
37.05,0.00055,0.055
37.12,0.00055,0.055
37.19,0.00055,0.055
37.26,0.00055,0.055
37.32,0.00055,0.055
37.39,0.00056,0.056
37.46,0.00056,0.056
37.53,0.00056,0.056
37.59,0.00056,0.056
37.66,0.00056,0.056
37.73,0.00057,0.057
37.80,0.00057,0.057
37.87,0.00057,0.057
37.93,0.00057,0.057
38.00,0.00057,0.057
38.07,0.00058,0.058
38.14,0.00058,0.058
38.20,0.00058,0.058
38.27,0.00058,0.058
38.34,0.00058,0.058
38.41,0.00059,0.059
38.47,0.00059,0.059
38.54,0.00059,0.059
38.61,0.00059,0.059
38.68,0.00059,0.059
38.75,0.00060,0.060
38.81,0.00060,0.060
38.88,0.00060,0.060
38.95,0.00060,0.060
39.02,0.00060,0.060
39.08,0.00061,0.061
39.15,0.00061,0.061
39.22,0.00061,0.061
39.29,0.00061,0.061
39.36,0.00061,0.061
39.42,0.00062,0.062
39.49,0.00062,0.062
39.56,0.00062,0.062
39.63,0.00062,0.062
39.69,0.00062,0.062
39.76,0.00063,0.063
39.83,0.00063,0.063
39.90,0.00063,0.063
39.96,0.00063,0.063
40.03,0.00063,0.063
40.10,0.00064,0.064
40.17,0.00064,0.064
40.24,0.00064,0.064
40.30,0.00064,0.064
40.37,0.00065,0.065
40.44,0.00065,0.065
40.51,0.00065,0.065
40.57,0.00065,0.065
40.64,0.00065,0.065
40.71,0.00066,0.066
40.78,0.00066,0.066
40.85,0.00066,0.066
40.91,0.00066,0.066
40.98,0.00066,0.066
41.05,0.00067,0.067
41.12,0.00067,0.067
41.18,0.00067,0.067
41.25,0.00067,0.067
41.32,0.00067,0.067
41.39,0.00068,0.068
41.45,0.00068,0.068
41.52,0.00068,0.068
41.59,0.00068,0.068
41.66,0.00068,0.068
41.73,0.00069,0.069
41.79,0.00069,0.069
41.86,0.00069,0.069
41.93,0.00069,0.069
42.00,0.00070,0.070
42.06,0.00070,0.070
42.13,0.00070,0.070
42.20,0.00070,0.070
42.27,0.00070,0.070
42.34,0.00071,0.071
42.40,0.00071,0.071
42.47,0.00071,0.071
42.54,0.00071,0.071
42.61,0.00071,0.071
42.67,0.00072,0.072
42.74,0.00072,0.072
42.81,0.00072,0.072
42.88,0.00072,0.072
42.94,0.00072,0.072
43.01,0.00073,0.073
43.08,0.00073,0.073
43.15,0.00073,0.073
43.22,0.00073,0.073
43.28,0.00074,0.074
43.35,0.00074,0.074
43.42,0.00074,0.074
43.49,0.00074,0.074
43.55,0.00074,0.074
43.62,0.00075,0.075
43.69,0.00075,0.075
43.76,0.00075,0.075
43.83,0.00075,0.075
43.89,0.00075,0.075
43.96,0.00076,0.076
44.03,0.00076,0.076
44.10,0.00076,0.076
44.16,0.00076,0.076
44.23,0.00077,0.077
44.30,0.00077,0.077
44.37,0.00077,0.077
44.43,0.00077,0.077
44.50,0.00077,0.077
44.57,0.00078,0.078
44.64,0.00078,0.078
44.71,0.00078,0.078
44.77,0.00078,0.078
44.84,0.00078,0.078
44.91,0.00079,0.079
44.98,0.00079,0.079
45.04,0.00079,0.079
45.11,0.00079,0.079
45.18,0.00080,0.080
45.25,0.00080,0.080
45.32,0.00080,0.080
45.38,0.00080,0.080
45.45,0.00080,0.080
45.52,0.00081,0.081
45.59,0.00081,0.081
45.65,0.00081,0.081
45.72,0.00081,0.081
45.79,0.00081,0.081
45.86,0.00082,0.082
45.92,0.00082,0.082
45.99,0.00082,0.082
46.06,0.00082,0.082
46.13,0.00083,0.083
46.20,0.00083,0.083
46.26,0.00083,0.083
46.33,0.00083,0.083
46.40,0.00083,0.083
46.47,0.00084,0.084
46.53,0.00084,0.084
46.60,0.00084,0.084
46.67,0.00084,0.084
46.74,0.00084,0.084
46.81,0.00085,0.085
46.87,0.00085,0.085
46.94,0.00085,0.085
47.01,0.00085,0.085
47.08,0.00086,0.086
47.14,0.00086,0.086
47.21,0.00086,0.086
