mukey,muname,wtdepannmin,wtdepaprjunmin,brockdepmin,aws025wta,aws050wta,aws0100wta,aws0150wta
323133,Immokalee fine sand,20,31,,1.51,2.52,6.14,14.9
323139,"Ona fine sand, 0 to 2 percent slopes",31,31,,2.77,6.05,10.58,14.73
323143,"Basinger fine sand, frequently ponded, 0 to 1 percent slopes",0,8,,2.24,5.02,10.81,14.8
323148,"Pomello fine sand, 0 to 5 percent slopes",84,130,,2.06,3.57,6.57,14.31
323151,St. Johns fine sand,15,30,,3.06,4.84,12.96,17.94
323156,"Samsula-Hontoon-Basinger association, depressional",0,0,,6.26,12.49,23.8,31.79
323157,Sanibel muck,0,0,,8.66,12.32,16.91,21.16
323159,"Smyrna-Smyrna, wet, fine sand, 0 to 2 percent slopes",8,8,,1.26,3.05,7.1,9.65
323176,Water,,,,,,,
