time_min,rain_mm_hr,Pe_mm_hr,infilt_mm_hr,flooded_ha,mean_depth_m,lake_rise_m
0.0,0.0,0.0,76.0,0.0,0.0,0.0
30.0,2.15,0.0,43.76,0.0,0.0,0.0
60.0,2.15,0.0,31.9,0.0,0.0,0.0
90.0,2.15,0.0,27.54,0.0,0.0,0.0
120.0,2.15,0.0,25.93,0.0,0.0,0.0
150.0,2.37,0.0,25.34,0.0,0.0,0.0
180.0,3.23,0.0,25.13,0.0,0.0,0.0
210.0,3.23,0.0,25.05,0.0,0.0,0.0
240.0,3.23,0.0,25.02,0.0,0.0,0.0
270.0,3.23,0.0,25.01,0.0,0.0,0.0
300.0,4.09,0.0,25.0,0.0,0.0,0.0
330.0,5.38,0.0,25.0,0.0,0.0,0.0
360.0,5.38,0.0,25.0,0.0,0.0,0.0
390.0,5.38,0.0,25.0,0.0,0.0,0.0
420.0,5.38,0.0,25.0,0.0,0.0,0.0
450.0,6.99,0.0,25.0,0.0,0.0,0.0
480.0,8.06,0.0,25.0,0.0,0.0,0.0
510.0,8.06,0.0,25.0,0.0,0.0,0.0
540.0,8.06,0.0,25.0,0.0,0.0,0.0
570.0,8.06,0.0,25.0,0.0,0.0,0.0
600.0,13.66,0.0,25.0,0.0,0.0,0.0
630.0,15.05,0.0,25.0,0.0,0.0,0.0
660.0,15.05,0.0,25.0,0.0,0.0,0.0
690.0,15.05,0.0,25.0,0.0,0.0,0.0
720.0,15.05,0.0,25.0,0.0,0.0,0.0
750.0,8.06,0.0,25.0,0.0,0.0,0.0
780.0,8.06,0.0,25.0,0.0,0.0,0.0
810.0,8.06,0.0,25.0,0.0,0.0,0.0
840.0,8.06,0.0,25.0,0.0,0.0,0.0
870.0,7.42,0.0,25.0,0.0,0.0,0.0
900.0,4.84,0.0,25.0,0.0,0.0,0.0
930.0,4.84,0.0,25.0,0.0,0.0,0.0
960.0,4.84,0.0,25.0,0.0,0.0,0.0
990.0,4.84,0.0,25.0,0.0,0.0,0.0
1020.0,4.19,0.0,25.0,0.0,0.0,0.0
1050.0,3.23,0.0,25.0,0.0,0.0,0.0
1080.0,3.23,0.0,25.0,0.0,0.0,0.0
1110.0,3.23,0.0,25.0,0.0,0.0,0.0
1140.0,3.23,0.0,25.0,0.0,0.0,0.0
1170.0,2.58,0.0,25.0,0.0,0.0,0.0
1200.0,2.15,0.0,25.0,0.0,0.0,0.0
1230.0,2.15,0.0,25.0,0.0,0.0,0.0
1260.0,2.15,0.0,25.0,0.0,0.0,0.0
1290.0,2.15,0.0,25.0,0.0,0.0,0.0
1320.0,1.72,0.0,25.0,0.0,0.0,0.0
1350.0,1.61,0.0,25.0,0.0,0.0,0.0
1380.0,1.61,0.0,25.0,0.0,0.0,0.0
1410.0,1.61,0.0,25.0,0.0,0.0,0.0
1440.0,1.61,0.0,25.0,0.0,0.0,0.0
