time_min,rain_mm_hr,Pe_mm_hr,infilt_mm_hr,flooded_ha,mean_depth_m,lake_rise_m
0.0,0.0,0.0,76.0,0.0,0.0,0.0
30.0,5.0,0.0,43.76,0.0,0.0,0.0
60.0,5.0,0.0,31.9,0.0,0.0,0.0
90.0,5.0,0.0,27.54,0.0,0.0,0.0
120.0,5.0,0.0,25.93,0.0,0.0,0.0
150.0,5.49,0.0,25.34,0.0,0.0,0.0
180.0,7.49,0.0,25.13,0.0,0.0,0.0
210.0,7.49,0.0,25.05,0.0,0.0,0.0
240.0,7.49,0.0,25.02,0.0,0.0,0.0
270.0,7.49,0.0,25.01,0.0,0.0,0.0
300.0,9.49,0.0,25.0,0.0,0.0,0.0
330.0,12.49,0.0,25.0,0.0,0.0,0.0
360.0,12.49,0.0,25.0,0.0,0.0,0.0
390.0,12.49,0.0,25.0,0.0,0.0,0.0
420.0,12.49,0.0,25.0,0.0,0.0,0.0
450.0,16.23,0.0,25.0,0.0,0.0,0.0
480.0,18.73,0.0,25.0,0.0,0.0,0.0
510.0,18.73,0.0,25.0,0.0,0.0,0.0
540.0,18.73,0.0,25.0,0.0,0.0,0.0
570.0,18.73,0.0,25.0,0.0,0.0,0.0
600.0,31.72,6.72,25.0,3.191,0.104,0.003
630.0,34.97,9.97,25.0,9.257,0.158,0.009
660.0,34.97,9.97,25.0,13.593,0.199,0.014
690.0,34.97,9.97,25.0,18.315,0.22,0.019
720.0,34.97,9.97,25.0,25.597,0.213,0.024
750.0,18.73,0.0,25.0,18.018,0.298,0.024
780.0,18.73,0.0,25.0,16.48,0.322,0.024
810.0,18.73,0.0,25.0,14.478,0.36,0.024
840.0,18.73,0.0,25.0,14.354,0.363,0.024
870.0,17.23,0.0,25.0,14.286,0.364,0.024
900.0,11.24,0.0,25.0,14.241,0.366,0.024
930.0,11.24,0.0,25.0,14.204,0.366,0.024
960.0,11.24,0.0,25.0,14.174,0.367,0.024
990.0,11.24,0.0,25.0,14.156,0.367,0.024
1020.0,9.74,0.0,25.0,14.142,0.368,0.024
1050.0,7.49,0.0,25.0,14.12,0.368,0.024
1080.0,7.49,0.0,25.0,14.108,0.368,0.024
1110.0,7.49,0.0,25.0,14.097,0.369,0.024
1140.0,7.49,0.0,25.0,14.091,0.369,0.024
1170.0,5.99,0.0,25.0,14.084,0.369,0.024
1200.0,5.0,0.0,25.0,14.072,0.369,0.024
1230.0,5.0,0.0,25.0,14.067,0.369,0.024
1260.0,5.0,0.0,25.0,14.062,0.369,0.024
1290.0,5.0,0.0,25.0,14.056,0.369,0.024
1320.0,4.0,0.0,25.0,14.053,0.369,0.024
1350.0,3.75,0.0,25.0,14.049,0.369,0.024
1380.0,3.75,0.0,25.0,14.044,0.37,0.024
1410.0,3.75,0.0,25.0,14.04,0.37,0.024
1440.0,3.75,0.0,25.0,14.039,0.37,0.024
