time_min,rain_mm_hr,Pe_mm_hr,infilt_mm_hr,flooded_ha,mean_depth_m,lake_rise_m
0.0,0.0,0.0,76.0,0.0,0.0,0.0
30.0,3.7,0.0,43.76,0.0,0.0,0.0
60.0,3.7,0.0,31.9,0.0,0.0,0.0
90.0,3.7,0.0,27.54,0.0,0.0,0.0
120.0,3.7,0.0,25.93,0.0,0.0,0.0
150.0,4.07,0.0,25.34,0.0,0.0,0.0
180.0,5.55,0.0,25.13,0.0,0.0,0.0
210.0,5.55,0.0,25.05,0.0,0.0,0.0
240.0,5.55,0.0,25.02,0.0,0.0,0.0
270.0,5.55,0.0,25.01,0.0,0.0,0.0
300.0,7.03,0.0,25.0,0.0,0.0,0.0
330.0,9.25,0.0,25.0,0.0,0.0,0.0
360.0,9.25,0.0,25.0,0.0,0.0,0.0
390.0,9.25,0.0,25.0,0.0,0.0,0.0
420.0,9.25,0.0,25.0,0.0,0.0,0.0
450.0,12.02,0.0,25.0,0.0,0.0,0.0
480.0,13.87,0.0,25.0,0.0,0.0,0.0
510.0,13.87,0.0,25.0,0.0,0.0,0.0
540.0,13.87,0.0,25.0,0.0,0.0,0.0
570.0,13.87,0.0,25.0,0.0,0.0,0.0
600.0,23.49,0.0,25.0,0.0,0.0,0.0
630.0,25.9,0.9,25.0,0.095,0.075,0.0
660.0,25.9,0.9,25.0,0.592,0.091,0.001
690.0,25.9,0.9,25.0,1.336,0.101,0.001
720.0,25.9,0.9,25.0,2.103,0.11,0.002
750.0,13.87,0.0,25.0,2.425,0.119,0.002
780.0,13.87,0.0,25.0,2.511,0.124,0.002
810.0,13.87,0.0,25.0,2.564,0.125,0.002
840.0,13.87,0.0,25.0,2.582,0.126,0.002
870.0,12.76,0.0,25.0,2.592,0.127,0.002
900.0,8.32,0.0,25.0,2.596,0.128,0.002
930.0,8.32,0.0,25.0,2.601,0.128,0.002
960.0,8.32,0.0,25.0,2.602,0.128,0.002
990.0,8.32,0.0,25.0,2.603,0.128,0.002
1020.0,7.21,0.0,25.0,2.604,0.128,0.002
1050.0,5.55,0.0,25.0,2.603,0.128,0.002
1080.0,5.55,0.0,25.0,2.601,0.129,0.002
1110.0,5.55,0.0,25.0,2.601,0.129,0.002
1140.0,5.55,0.0,25.0,2.602,0.129,0.002
1170.0,4.44,0.0,25.0,2.602,0.129,0.002
1200.0,3.7,0.0,25.0,2.601,0.129,0.002
1230.0,3.7,0.0,25.0,2.601,0.129,0.002
1260.0,3.7,0.0,25.0,2.601,0.129,0.002
1290.0,3.7,0.0,25.0,2.6,0.129,0.002
1320.0,2.96,0.0,25.0,2.6,0.129,0.002
1350.0,2.77,0.0,25.0,2.598,0.129,0.002
1380.0,2.77,0.0,25.0,2.598,0.129,0.002
1410.0,2.77,0.0,25.0,2.6,0.129,0.002
1440.0,2.77,0.0,25.0,2.601,0.129,0.002
