elevation_m_navd88,volume_m3,area_m2
24.768104553222656,0.0,0.0
24.798114078080832,49.021392665472646,1687.6661234706448
24.828123602939012,102.88847560984081,1903.8547591218432
24.85813312779719,161.76360717781375,2029.383644338668
24.888142652655368,225.2687847936134,2231.6246260768858
24.918152177513544,294.0577249252948,2378.0749921631814
24.94816170237172,368.5423756259176,2552.420666075438
24.9781712272299,447.92366142439676,2796.5046095525977
25.008180752088077,534.3789080167389,2963.876456508364
25.038190276946256,626.4443098058146,3207.9603999855235
25.068199801804433,725.5225386060001,3389.27990085427
25.09820932666261,837.6992523263561,3954.159884329982
25.12821885152079,959.935319834721,4205.217654763632
25.158228376378965,1092.035049178992,4588.778137370597
25.18823790123714,1234.3191665927945,4944.4433121516
25.21824742609532,1387.8282765348615,5300.108486932604
25.248256950953497,1552.106828571832,5669.721315626588
25.278266475811677,1729.506105669261,6123.020067798456
25.308276000669853,1918.1454858208913,6548.423512144362
25.33828552552803,2121.7877028094,7022.6437451857
25.36829505038621,2342.009571939982,7692.131133008766
25.398304575244385,2630.7504401693495,10809.431782559916
25.428314100102565,2972.635028119918,11883.401133859417
25.45832362496074,3349.5377278692204,13152.637639940645
25.488333149818917,3763.284146339643,14373.057357326443
25.518342674677097,4215.903988965881,15816.639537319928
25.548352199535273,4710.3084794704,17078.902216444665
25.578361724393453,5247.221646152336,18668.934762524448
25.60837124925163,5828.180506171103,20112.516942517934
25.638380774109805,6456.3246437327,21618.86356511983
25.668390298967985,7129.198917608793,23229.817592069085
25.69839982382616,7924.199867298437,29952.5867781257
25.72840934868434,8871.309755801401,33272.12840941507
25.758418873542517,9924.447012441202,36940.36138852895
25.788428398400693,11088.107337920623,40664.38498329475
25.818437923258873,12367.948453669454,44667.361656320165
25.84844744811705,13769.698738788065,48844.68400325784
25.87845697297523,15298.860127312075,53147.53523541233
25.908466497833405,16962.395379333906,57631.70596843558
25.93847602269158,18764.30559186229,62443.64656841386
25.96848554754976,20710.972088977527,67471.77580404334
25.998495072407938,22907.387061377605,82074.96945093396
26.028504597266114,25510.420753316223,91378.05461089198
26.058514122124294,28397.23097365306,101078.64790736994
26.08852364698247,31577.764279292365,111065.168109064
26.11853317184065,35061.606277110375,121288.79842727874
26.148542696698826,38857.34996140625,131979.67515157833
26.178552221557002,42976.00090284572,142796.08076109472
26.20856174641518,47423.399000467034,153863.54414104478
26.238571271273358,52212.00724580378,165384.3062731667
26.268580796131538,57351.52702215627,177121.25704093982
26.298590320989714,62928.84513060936,201390.17484952597
26.32859984584789,69150.59524663852,213085.28265556015
26.35860937070607,75722.40559644751,224961.70996246306
26.388618895564246,82652.6052721924,236942.74467371334
26.418628420422426,89943.66644104621,248979.57000061555
26.448637945280602,97600.22015997226,261483.6417336026
26.478647470138778,105625.8486877392,273471.65027180937
26.508656994996958,114019.12865536862,285961.77435088344
26.538666519855134,122787.69449647205,298507.68904560944
