time_min,rain_mm_hr,Pe_mm_hr,infilt_mm_hr,flooded_ha,mean_depth_m,lake_rise_m
0.0,0.0,0.0,76.0,0.0,0.0,0.0
30.0,4.32,0.0,43.76,0.0,0.0,0.0
60.0,4.32,0.0,31.9,0.0,0.0,0.0
90.0,4.32,0.0,27.54,0.0,0.0,0.0
120.0,4.32,0.0,25.93,0.0,0.0,0.0
150.0,4.75,0.0,25.34,0.0,0.0,0.0
180.0,6.48,0.0,25.13,0.0,0.0,0.0
210.0,6.48,0.0,25.05,0.0,0.0,0.0
240.0,6.48,0.0,25.02,0.0,0.0,0.0
270.0,6.48,0.0,25.01,0.0,0.0,0.0
300.0,8.2,0.0,25.0,0.0,0.0,0.0
330.0,10.79,0.0,25.0,0.0,0.0,0.0
360.0,10.8,0.0,25.0,0.0,0.0,0.0
390.0,10.79,0.0,25.0,0.0,0.0,0.0
420.0,10.8,0.0,25.0,0.0,0.0,0.0
450.0,14.03,0.0,25.0,0.0,0.0,0.0
480.0,16.19,0.0,25.0,0.0,0.0,0.0
510.0,16.19,0.0,25.0,0.0,0.0,0.0
540.0,16.19,0.0,25.0,0.0,0.0,0.0
570.0,16.19,0.0,25.0,0.0,0.0,0.0
600.0,27.42,2.42,25.0,0.599,0.086,0.001
630.0,30.23,5.23,25.0,4.093,0.119,0.004
660.0,30.23,5.23,25.0,7.584,0.151,0.007
690.0,30.23,5.23,25.0,9.761,0.183,0.009
720.0,30.23,5.23,25.0,12.012,0.203,0.012
750.0,16.19,0.0,25.0,11.881,0.224,0.012
780.0,16.19,0.0,25.0,10.586,0.25,0.012
810.0,16.19,0.0,25.0,10.493,0.253,0.012
840.0,16.19,0.0,25.0,10.445,0.255,0.012
870.0,14.9,0.0,25.0,10.413,0.256,0.012
900.0,9.72,0.0,25.0,10.399,0.257,0.012
930.0,9.72,0.0,25.0,10.38,0.257,0.012
960.0,9.72,0.0,25.0,10.362,0.258,0.012
990.0,9.72,0.0,25.0,10.353,0.258,0.012
1020.0,8.42,0.0,25.0,10.346,0.258,0.012
1050.0,6.48,0.0,25.0,10.332,0.259,0.012
1080.0,6.48,0.0,25.0,10.326,0.259,0.012
1110.0,6.48,0.0,25.0,10.321,0.259,0.012
1140.0,6.48,0.0,25.0,10.316,0.259,0.012
1170.0,5.18,0.0,25.0,10.307,0.259,0.012
1200.0,4.32,0.0,25.0,10.302,0.259,0.012
1230.0,4.32,0.0,25.0,10.296,0.259,0.012
1260.0,4.32,0.0,25.0,10.295,0.259,0.012
1290.0,4.32,0.0,25.0,10.294,0.259,0.012
1320.0,3.45,0.0,25.0,10.291,0.259,0.012
1350.0,3.24,0.0,25.0,10.288,0.259,0.012
1380.0,3.24,0.0,25.0,10.286,0.26,0.012
1410.0,3.24,0.0,25.0,10.284,0.26,0.012
1440.0,3.24,0.0,25.0,10.284,0.26,0.012
