time_min,rain_mm_hr,Pe_mm_hr,infilt_mm_hr,flooded_ha,mean_depth_m,lake_rise_m
0.0,0.0,0.0,76.0,0.0,0.0,0.0
30.0,6.01,0.0,43.76,0.0,0.0,0.0
60.0,6.01,0.0,31.9,0.0,0.0,0.0
90.0,6.01,0.0,27.54,0.0,0.0,0.0
120.0,6.01,0.0,25.93,0.0,0.0,0.0
150.0,6.61,0.0,25.34,0.0,0.0,0.0
180.0,9.02,0.0,25.13,0.0,0.0,0.0
210.0,9.02,0.0,25.05,0.0,0.0,0.0
240.0,9.02,0.0,25.02,0.0,0.0,0.0
270.0,9.02,0.0,25.01,0.0,0.0,0.0
300.0,11.42,0.0,25.0,0.0,0.0,0.0
330.0,15.03,0.0,25.0,0.0,0.0,0.0
360.0,15.03,0.0,25.0,0.0,0.0,0.0
390.0,15.03,0.0,25.0,0.0,0.0,0.0
420.0,15.03,0.0,25.0,0.0,0.0,0.0
450.0,19.54,0.0,25.0,0.0,0.0,0.0
480.0,22.54,0.0,25.0,0.0,0.0,0.0
510.0,22.54,0.0,25.0,0.0,0.0,0.0
540.0,22.54,0.0,25.0,0.0,0.0,0.0
570.0,22.54,0.0,25.0,0.0,0.0,0.0
600.0,38.17,13.17,25.0,7.357,0.127,0.007
630.0,42.08,17.08,25.0,16.495,0.186,0.016
660.0,42.08,17.08,25.0,35.135,0.169,0.024
690.0,42.08,17.08,25.0,73.148,0.137,0.033
720.0,42.08,17.08,25.0,97.53,0.14,0.042
750.0,22.54,0.0,25.0,97.559,0.141,0.042
780.0,22.54,0.0,25.0,94.129,0.14,0.042
810.0,22.54,0.0,25.0,83.615,0.147,0.042
840.0,22.54,0.0,25.0,72.707,0.157,0.042
870.0,20.74,0.0,25.0,30.569,0.299,0.042
900.0,13.53,0.0,25.0,17.547,0.484,0.042
930.0,13.53,0.0,25.0,17.496,0.485,0.042
960.0,13.53,0.0,25.0,17.453,0.486,0.042
990.0,13.53,0.0,25.0,17.424,0.486,0.042
1020.0,11.72,0.0,25.0,17.398,0.487,0.042
1050.0,9.02,0.0,25.0,17.371,0.488,0.042
1080.0,9.02,0.0,25.0,17.347,0.488,0.042
1110.0,9.02,0.0,25.0,17.336,0.488,0.042
1140.0,9.02,0.0,25.0,17.322,0.489,0.042
1170.0,7.21,0.0,25.0,17.308,0.489,0.042
1200.0,6.01,0.0,25.0,17.3,0.489,0.042
1230.0,6.01,0.0,25.0,17.288,0.489,0.042
1260.0,6.01,0.0,25.0,17.283,0.49,0.042
1290.0,6.01,0.0,25.0,17.272,0.49,0.042
1320.0,4.81,0.0,25.0,17.268,0.49,0.042
1350.0,4.51,0.0,25.0,17.26,0.49,0.042
1380.0,4.51,0.0,25.0,17.253,0.49,0.042
1410.0,4.51,0.0,25.0,17.248,0.49,0.042
1440.0,4.51,0.0,25.0,17.245,0.49,0.042
