date,season,s2_area_ha,dem_volume_m3,mean_depth_m
20230915,wet,112.34,4328951.0,3.598
20231015,shoulder,98.24,2435328.0,2.316
20231020,shoulder,82.13,2198312.0,2.501
20231119,shoulder,85.64,2132445.0,2.328
20231129,shoulder,93.16,2265761.0,2.272
20231209,shoulder,81.72,1955958.0,2.238
20231219,shoulder,92.14,2304235.0,2.337
20240202,dry,81.46,1956526.0,2.245
20240207,dry,34.61,946186.0,2.557
20240212,dry,80.88,1979531.0,2.287
20240222,dry,58.69,1428781.0,2.271
20240227,dry,81.38,1975221.0,2.266
20240407,dry,94.74,2273039.0,2.242
20240412,dry,107.72,2624743.0,2.276
20240502,dry,76.03,2010920.0,2.471
20240527,dry,101.38,2387262.0,2.199
20240726,wet,96.68,2404127.0,2.327
20241014,shoulder,125.93,3009461.0,2.233
20241024,shoulder,106.47,2528085.0,2.22
20241123,shoulder,46.73,1242793.0,2.478
20241203,shoulder,79.51,1996474.0,2.345
20250112,dry,23.03,730323.0,2.964
20250206,dry,73.72,1604563.0,2.036
20250221,dry,85.99,2087104.0,2.269
20250226,dry,50.58,1364557.0,2.519
20250303,dry,75.35,1846429.0,2.287
20250308,dry,78.8,1971543.0,2.336
20250313,dry,105.31,2458621.0,2.181
20250318,dry,24.75,726562.0,2.742
20250412,dry,105.19,2469194.0,2.194
20250417,dry,67.54,1658920.0,2.297
20250517,dry,69.56,1667270.0,2.244
20250601,wet,103.12,2464156.0,2.233
20250701,wet,83.04,2219634.0,2.499
20250726,wet,8.71,328279.0,3.544
20250728,wet,109.78,2614015.0,2.227
20250919,wet,113.23,2789660.0,2.303
20250924,wet,25.58,904969.0,3.306
20251014,shoulder,60.55,1668922.0,2.574
20251019,shoulder,69.61,1804066.0,2.419
20251024,shoulder,33.59,1101497.0,3.062
20251103,shoulder,63.04,1701204.0,2.522
20251105,shoulder,63.52,1722639.0,2.532
20251108,shoulder,37.23,1153558.0,2.895
20251113,shoulder,50.47,1452919.0,2.686
20251118,shoulder,100.31,2540588.0,2.365
20251125,shoulder,77.1,2514922.0,3.052
20251128,shoulder,41.51,1279778.0,2.885
20251223,shoulder,6.56,284512.0,4.073
20251228,shoulder,31.16,941350.0,2.829
20260127,dry,88.52,2269051.0,2.394
20260206,dry,55.13,1472610.0,2.496
20260221,dry,24.02,755045.0,2.937
20260328,dry,111.24,2681656.0,2.252
20260412,dry,66.84,1836541.0,2.566
20260417,dry,106.75,2606516.0,2.282
20260424,dry,97.24,2400726.0,2.308
20260507,dry,102.88,2512773.0,2.282
