z_m,volume_m3,area_ha
24.768104553222656,0.0,0.0
24.798091773411738,48.98276505339369,0.16876661234706447
24.828078993600815,102.80495537008747,0.19038547591218433
24.858066213789897,161.62842383705674,0.20224098173821778
24.88805343397898,225.06872994317698,0.22316246260768857
24.918040654168056,293.7946474763632,0.23780749921631814
24.948027874357138,368.20153749509427,0.2552420666075438
24.97801509454622,447.49290502303154,0.27825569556396174
25.008002314735297,533.8531787674937,0.29638764565083636
25.037989534924378,625.7956745181363,0.32079603999855233
25.06797675511346,724.7661610119033,0.338927990085427
25.097963975302537,836.7269644708043,0.3947186057373492
25.12795119549162,958.8046906932917,0.41982438278071416
25.157938415680697,1090.7047908357445,0.45887781373705966
25.187925635869778,1232.7744877582547,0.493746948519511
25.21791285605886,1386.0498101969126,0.5293134659976113
25.247900076247937,1550.0847848122612,0.5669721315626588
25.27788729643702,1727.1821706274093,0.6123020067798456
25.3078745166261,1915.5226390370844,0.6548423512144361
25.337861736815178,2118.813908740093,0.70226437451857
25.36784895700426,2338.581397971014,0.7678183479095786
25.39783617719334,2625.703737330627,1.0788510301690446
25.42782339738242,2966.811942202055,1.1869453479946437
25.4578106175715,3342.792474220569,1.3138689986027665
25.48779783776058,3755.6156608386586,1.4345162049500482
25.51778505794966,4207.073057089275,1.5795718056450458
25.54777227813874,4700.4172568864815,1.7037059254705724
25.577759498327822,5235.972604477157,1.8648013281654978
25.6077467185169,5815.612805077515,2.0070673980778992
25.63773393870598,6442.357409983294,2.157702060338089
25.667721158895063,7113.664019999477,2.318797463033014
25.69770837908414,7903.480143873874,2.991771764334325
25.727695599273222,8847.609640753955,3.31744948320242
25.757682819462303,9897.28467153535,3.685667546505107
25.78767003965138,11057.283567603166,4.0566751405903885
25.817657259840463,12333.138909693516,4.454183277110334
25.847644480029544,13730.527999072612,4.871915511804102
25.877631700218622,15255.123880520492,5.301503252323902
25.907618920407703,16913.636478850516,5.752709856408822
25.937606140596785,18710.07114755759,6.229719620232756
25.967593360785862,20650.952228657658,6.730440395708758
