date,prcp_mm
2021-09-22,0.508
2021-09-23,27.939999999999998
2021-09-24,0.0254
2021-09-25,0.0
2021-09-26,0.0
2021-09-27,0.0
2021-09-28,0.0
2021-09-29,0.0
2021-09-30,0.0
2021-10-01,4.5973999999999995
2021-10-02,0.0
2021-10-03,0.0254
2021-10-04,0.0254
2021-10-05,0.0
2021-10-06,0.0
2021-10-07,0.0254
2021-10-08,9.448799999999999
2021-10-09,0.0
2021-10-10,0.0508
2021-10-11,5.6388
2021-10-12,0.0
2021-10-13,2.3621999999999996
2021-10-14,0.0
2021-10-15,0.0
2021-10-16,0.0
2021-10-17,0.0508
2021-10-18,0.0
2021-10-19,0.0
2021-10-20,0.0
2021-10-21,0.0
2021-10-22,0.0
2021-10-23,0.0
2021-10-24,24.7396
2021-10-25,2.6923999999999997
2021-10-26,0.0
2021-10-27,0.0
2021-10-28,32.029399999999995
2021-10-29,0.30479999999999996
2021-10-30,0.381
2021-10-31,0.0
2021-11-01,0.0
2021-11-02,0.0
2021-11-03,0.0
2021-11-04,0.0
2021-11-05,55.1688
2021-11-06,8.2042
2021-11-07,0.0
2021-11-08,0.0
2021-11-09,0.0
2021-11-10,3.8608
2021-11-11,17.8308
2021-11-12,0.3302
2021-11-13,0.0508
2021-11-14,0.0
2021-11-15,0.0
2021-11-16,0.0
2021-11-17,0.0
2021-11-18,0.5842
2021-11-19,0.6858000000000001
2021-11-20,18.1864
2021-11-21,0.0
2021-11-22,2.8701999999999996
2021-11-23,0.0
2021-11-24,0.0
2021-11-25,0.0
2021-11-26,0.0
2021-11-27,0.0
2021-11-28,0.0
2021-11-29,0.8635999999999999
2021-11-30,0.0
2021-12-01,0.0
2021-12-02,0.0
2021-12-03,0.0
2021-12-04,0.0
2021-12-05,0.0
2021-12-06,0.0
2021-12-07,0.0
2021-12-08,0.0
2021-12-09,0.0
2021-12-10,0.0
2021-12-11,0.0
2021-12-12,0.0254
2021-12-13,0.0
2021-12-14,4.064
2021-12-15,4.9784
2021-12-16,0.1016
2021-12-17,0.0
2021-12-18,0.0
2021-12-19,0.0508
2021-12-20,0.7874
2021-12-21,43.561
2021-12-22,0.1016
