year,month,monthly_total_mm,n_days_reported,days_in_month,complete,season,date
1967,2,105.2,28,28,True,dry,1967-02-01
1967,3,13.9,31,31,True,dry,1967-03-01
1967,4,1.0,30,30,True,dry,1967-04-01
1967,5,11.5,31,31,True,dry,1967-05-01
1967,6,246.8,30,30,True,wet,1967-06-01
1967,7,271.5,31,31,True,wet,1967-07-01
1967,8,162.8,31,31,True,wet,1967-08-01
1967,9,179.9,30,30,True,wet,1967-09-01
1967,10,6.3,31,31,True,dry,1967-10-01
1967,11,2.0,30,30,True,dry,1967-11-01
1967,12,73.7,31,31,True,dry,1967-12-01
1968,1,6.9,31,31,True,dry,1968-01-01
1968,2,78.8,29,29,True,dry,1968-02-01
1968,3,22.4,31,31,True,dry,1968-03-01
1968,4,11.9,30,30,True,dry,1968-04-01
1968,5,127.4,31,31,True,dry,1968-05-01
1968,6,391.7,30,30,True,wet,1968-06-01
1968,7,238.2,31,31,True,wet,1968-07-01
1968,8,120.39999999999999,31,31,True,wet,1968-08-01
1968,9,90.4,30,30,True,wet,1968-09-01
1968,10,79.3,31,31,True,dry,1968-10-01
1968,11,67.2,30,30,True,dry,1968-11-01
1968,12,7.8999999999999995,31,31,True,dry,1968-12-01
1969,1,55.9,31,31,True,dry,1969-01-01
1969,2,48.0,28,28,True,dry,1969-02-01
1969,3,146.3,31,31,True,dry,1969-03-01
1969,4,69.3,30,30,True,dry,1969-04-01
1969,5,76.3,31,31,True,dry,1969-05-01
1969,6,93.8,30,30,True,wet,1969-06-01
1969,7,116.19999999999999,31,31,True,wet,1969-07-01
1969,8,167.2,31,31,True,wet,1969-08-01
1969,9,331.8,30,30,True,wet,1969-09-01
1969,10,157.8,31,31,True,dry,1969-10-01
1969,11,44.6,30,30,True,dry,1969-11-01
1969,12,116.6,31,31,True,dry,1969-12-01
1970,1,69.39999999999999,31,31,True,dry,1970-01-01
1970,2,78.39999999999999,28,28,True,dry,1970-02-01
1970,3,142.0,31,31,True,dry,1970-03-01
1970,4,27.7,30,30,True,dry,1970-04-01
