time_min,cumulative_depth_mm,incremental_depth_mm
0,0.0,0.0
30,2.2986999999999993,2.2986999999999993
60,4.597399999999999,2.2986999999999993
90,7.585709999999999,2.9883100000000002
120,11.033759999999997,3.4480499999999985
150,14.94155,3.907790000000002
180,20.6883,5.746750000000002
210,26.435050000000004,5.746750000000002
240,34.48049999999999,8.045449999999988
270,43.100624999999994,8.620125000000002
300,54.70906,11.608435000000007
330,70.79995999999998,16.090899999999984
360,86.89086,16.09090000000002
390,95.510985,8.620125000000002
420,104.13111,8.620125000000002
450,110.682405,6.551294999999996
480,115.85448,5.172074999999992
510,120.68175,4.827269999999999
540,124.1298,3.448050000000009
570,127.57785,3.448049999999995
600,130.10642,2.528570000000016
630,132.40511999999998,2.298699999999968
660,134.47395,2.0688300000000197
690,136.197975,1.7240250000000117
720,137.922,1.7240249999999833
