elevation_m_navd88,volume_m3,area_m2
28.631290435791016,0.0,0.0
28.644363585428977,18574.95203402311,1420847.5041153273
28.657436735066938,37428.896485983714,1450814.038547366
28.670509884704895,56395.605508762834,1450814.038547366
28.683583034342856,75362.31453154709,1450814.038547366
28.696656183980817,94329.02355433136,1450814.038547366
28.709729333618778,113295.73257711563,1450814.038547366
28.72280248325674,132262.4415998999,1450814.038547366
28.735875632894697,151229.150622679,1450814.038547366
28.748948782532658,170195.8596454633,1450814.038547366
28.76202193217062,189162.56866824752,1450814.038547366
28.77509508180858,208129.2776910318,1450814.038547366
28.78816823144654,227095.9867138161,1450814.038547366
28.8012413810845,246062.69573659517,1450814.038547366
28.81431453072246,265029.40475937945,1450814.038547366
28.82738768036042,283996.1137821637,1450814.038547366
28.84046082999838,302962.82280494797,1450814.038547366
28.853533979636342,321929.5318277323,1450814.038547366
28.8666071292743,340896.2408505114,1450814.038547366
28.87968027891226,359862.94987329567,1450814.038547366
28.892753428550222,378829.65889607987,1450814.038547366
28.905826578188183,397796.3679188641,1450814.038547366
28.918899727826144,416763.07694164844,1450814.038547366
28.9319728774641,435729.7859644275,1450814.038547366
28.945046027102062,454696.49498721183,1450814.038547366
28.958119176740023,473663.2040099962,1450814.038547366
28.971192326377984,492629.91303278034,1450814.038547366
28.984265476015945,511596.6220555646,1450814.038547366
28.997338625653903,530563.3310783437,1450814.038547366
29.010411775291864,549530.0401011279,1450814.038547366
29.023484924929825,568496.7491239123,1450814.038547366
29.036558074567786,587463.4581466966,1450814.038547366
29.049631224205747,606430.1671694808,1450814.038547366
29.062704373843705,625396.8761922598,1450814.038547366
29.075777523481666,644363.5852150442,1450814.038547366
29.088850673119627,663330.2942378285,1450814.038547366
29.101923822757588,682297.0032606128,1450814.038547366
29.11499697239555,701263.7122833971,1450814.038547366
29.128070122033506,720230.4213061761,1450814.038547366
29.141143271671467,739197.1303289604,1450814.038547366
29.154216421309428,758163.8393517446,1450814.038547366
29.16728957094739,777130.548374529,1450814.038547366
29.18036272058535,796097.2573973131,1450814.038547366
29.193435870223308,815063.9664200923,1450814.038547366
