time_min,rain_mm_hr,Pe_mm_hr,infilt_mm_hr,flooded_ha,mean_depth_m,lake_rise_m
0,0.0,0.0,76.0,0.0,0.0,0.0
5,39.22,0.0,68.17,0.0,0.0,0.0
10,54.9,0.0,61.54,0.0,0.0,0.0
15,82.36,26.42,55.93,0.215,0.074,0.002
20,117.65,66.47,51.18,6.032,0.094,0.008
25,172.56,125.39,47.16,23.899,0.121,0.019
30,274.52,230.76,43.76,78.198,0.128,0.038
35,147.07,106.18,40.88,118.621,0.135,0.047
40,100.0,61.56,38.44,151.826,0.132,0.052
45,70.59,34.21,36.38,152.497,0.141,0.055
50,50.98,16.35,34.63,148.62,0.147,0.057
55,37.26,4.1,33.15,143.272,0.153,0.057
60,29.41,0.0,31.9,138.168,0.156,0.057
