scenario,total_rain_mm,flooded_ha_peak,max_depth_m,max_velocity_ms,max_lake_rise_m
flash_1hr_100yr,119.0,199.76248363788113,3.426058292388916,3.9694416522979736,0.077
flash_1hr_10yr,75.0,102.56198090101542,2.5559394359588623,3.2890207767486572,0.037
sustained_12hr_100yr,240.0,118.14220770451033,2.8170363903045654,2.096179485321045,0.049
sustained_12hr_10yr,151.0,13.041056408636802,2.199479341506958,1.3143889904022217,0.011
historical_20240212,1.3,0.0,0.0,0.0,0.0
historical_gsdr,208.02,194.86058067016413,6.549559593200684,3.183035373687744,0.154
historical_gsdr_extreme,245.62,108.76380521342222,2.550811767578125,2.2702529430389404,0.041
