time_min,rain_mm_hr,Pe_mm_hr,infilt_mm_hr,flooded_ha,mean_depth_m,lake_rise_m
0,0.0,0.0,76.0,0.0,0.0,0.0
30,5.03,0.0,43.76,0.0,0.0,0.0
60,5.03,0.0,31.9,0.0,0.0,0.0
90,6.54,0.0,27.54,0.0,0.0,0.0
120,7.55,0.0,25.93,0.0,0.0,0.0
150,8.56,0.0,25.34,0.0,0.0,0.0
180,12.58,0.0,25.13,0.0,0.0,0.0
210,12.58,0.0,25.05,0.0,0.0,0.0
240,17.62,0.0,25.02,0.0,0.0,0.0
270,18.87,0.0,25.01,0.0,0.0,0.0
300,25.42,0.42,25.0,0.014,0.067,0.0
330,35.23,10.23,25.0,5.948,0.118,0.005
360,35.23,10.23,25.0,10.932,0.18,0.011
390,18.87,0.0,25.0,11.27,0.21,0.011
420,18.88,0.0,25.0,9.985,0.236,0.011
450,14.34,0.0,25.0,9.889,0.241,0.011
480,11.32,0.0,25.0,9.838,0.243,0.011
510,10.57,0.0,25.0,9.798,0.244,0.011
540,7.55,0.0,25.0,9.778,0.245,0.011
570,7.55,0.0,25.0,9.758,0.245,0.011
600,5.54,0.0,25.0,9.738,0.246,0.011
630,5.03,0.0,25.0,9.731,0.246,0.011
660,4.53,0.0,25.0,9.724,0.246,0.011
690,3.78,0.0,25.0,9.714,0.247,0.011
720,3.77,0.0,25.0,9.705,0.247,0.011
