time_min,cumulative_depth_mm,incremental_depth_mm
0.0,0.0,0.0
30.0,1.5747999999999995,1.5747999999999995
60.0,3.149599999999999,1.5747999999999995
90.0,4.724399999999999,1.5748000000000002
120.0,6.299199999999998,1.5747999999999989
150.0,8.03148,1.732280000000002
180.0,10.393679999999998,2.362199999999998
210.0,12.755880000000001,2.362200000000003
240.0,15.118079999999997,2.362199999999996
270.0,17.48028,2.362200000000003
300.0,20.4724,2.99212
330.0,24.409399999999998,3.9369999999999976
360.0,28.346400000000003,3.9370000000000047
390.0,32.2834,3.9369999999999976
420.0,36.220400000000005,3.9370000000000047
450.0,41.3385,5.118099999999998
480.0,47.24399999999999,5.905499999999989
510.0,53.1495,5.905500000000011
540.0,59.05499999999999,5.905499999999989
570.0,64.96049999999998,5.905499999999989
600.0,74.96048,9.999980000000022
630.0,85.98407999999999,11.023599999999988
660.0,97.00767999999998,11.023599999999988
690.0,108.03128,11.023600000000016
720.0,119.05488,11.023600000000002
750.0,124.96038000000001,5.905500000000018
780.0,130.86588,5.905499999999989
810.0,136.77138,5.905499999999989
840.0,142.67688,5.905500000000018
870.0,148.10994000000002,5.433060000000012
900.0,151.65324,3.543299999999988
930.0,155.19654,3.543299999999988
960.0,158.73984,3.543299999999988
990.0,162.28314,3.5433000000000163
1020.0,165.35399999999998,3.070859999999982
1050.0,167.7162,2.3622000000000014
1080.0,170.07840000000002,2.36220000000003
1110.0,172.44060000000002,2.3622000000000014
1140.0,174.80280000000002,2.3622000000000014
1170.0,176.69256000000001,1.8897599999999954
1200.0,178.26736,1.574799999999982
1230.0,179.84216,1.5748000000000104
1260.0,181.41696,1.574799999999982
1290.0,182.99176,1.5748000000000104
1320.0,184.2516,1.259839999999997
1350.0,185.43269999999998,1.1810999999999865
1380.0,186.6138,1.181100000000015
1410.0,187.7949,1.181100000000015
1440.0,188.976,1.1810999999999865
