time_min,cumulative_depth_mm,incremental_depth_mm
0.0,12.19,12.19
60.0,15.75,3.56
120.0,15.75,0.0
180.0,15.75,0.0
240.0,15.75,0.0
300.0,15.75,0.0
360.0,21.08,5.33
420.0,34.04,12.95
480.0,45.21,11.18
540.0,61.47,16.26
600.0,62.48,1.02
660.0,71.88,9.4
720.0,79.5,7.62
780.0,81.28,1.78
840.0,82.8,1.52
900.0,88.39,5.59
960.0,94.49,6.1
1020.0,109.98,15.49
1080.0,130.05,20.07
1140.0,153.67,23.62
1200.0,175.26,21.59
1260.0,240.28,65.02
1320.0,245.36,5.08
1380.0,245.62,0.25
