datetime_utc,prcp_mm
2022-09-26 00:00:00,0.0
2022-09-26 01:00:00,0.0
2022-09-26 02:00:00,0.0
2022-09-26 03:00:00,0.0
2022-09-26 04:00:00,0.0
2022-09-26 05:00:00,0.0
2022-09-26 06:00:00,0.0
2022-09-26 07:00:00,0.0
2022-09-26 08:00:00,0.0
2022-09-26 09:00:00,0.0
2022-09-26 10:00:00,0.0
2022-09-26 11:00:00,0.0
2022-09-26 12:00:00,0.0
2022-09-26 13:00:00,0.0
2022-09-26 14:00:00,0.0
2022-09-26 15:00:00,0.0
2022-09-26 16:00:00,0.0
2022-09-26 17:00:00,0.0
2022-09-26 18:00:00,0.0
2022-09-26 19:00:00,0.0
2022-09-26 20:00:00,0.0
2022-09-26 21:00:00,0.0
2022-09-26 22:00:00,0.0
2022-09-26 23:00:00,0.0
2022-09-27 00:00:00,0.0
2022-09-27 01:00:00,0.0
2022-09-27 02:00:00,0.0
2022-09-27 03:00:00,0.0
2022-09-27 04:00:00,0.0
2022-09-27 05:00:00,0.0
2022-09-27 06:00:00,0.0
2022-09-27 07:00:00,0.0
2022-09-27 08:00:00,0.0
2022-09-27 09:00:00,0.0
2022-09-27 10:00:00,0.0
2022-09-27 11:00:00,0.0
2022-09-27 12:00:00,0.0
2022-09-27 13:00:00,0.0
2022-09-27 14:00:00,0.0
2022-09-27 15:00:00,0.0
2022-09-27 16:00:00,0.0
2022-09-27 17:00:00,0.0
2022-09-27 18:00:00,16.764
2022-09-27 19:00:00,0.0
2022-09-27 20:00:00,0.508
2022-09-27 21:00:00,0.0
2022-09-27 22:00:00,0.0
2022-09-27 23:00:00,0.0
2022-09-28 00:00:00,0.0
2022-09-28 01:00:00,0.0
2022-09-28 02:00:00,0.0
2022-09-28 03:00:00,0.0254
2022-09-28 04:00:00,0.7619999999999999
2022-09-28 05:00:00,1.778
2022-09-28 06:00:00,2.032
2022-09-28 07:00:00,0.254
2022-09-28 08:00:00,0.508
2022-09-28 09:00:00,1.27
2022-09-28 10:00:00,2.2859999999999996
2022-09-28 11:00:00,2.2859999999999996
2022-09-28 12:00:00,1.27
2022-09-28 13:00:00,2.794
2022-09-28 14:00:00,3.8099999999999996
2022-09-28 15:00:00,7.365999999999999
2022-09-28 16:00:00,5.842
2022-09-28 17:00:00,3.8099999999999996
2022-09-28 18:00:00,3.302
2022-09-28 19:00:00,9.398
2022-09-28 20:00:00,3.302
2022-09-28 21:00:00,9.906
2022-09-28 22:00:00,13.716
2022-09-28 23:00:00,7.619999999999999
2022-09-29 00:00:00,7.874
2022-09-29 01:00:00,7.365999999999999
2022-09-29 02:00:00,10.921999999999999
2022-09-29 03:00:00,19.558
2022-09-29 04:00:00,20.827999999999996
2022-09-29 05:00:00,18.287999999999997
2022-09-29 06:00:00,15.239999999999998
2022-09-29 07:00:00,30.987999999999996
2022-09-29 08:00:00,46.228
2022-09-29 09:00:00,57.15
2022-09-29 10:00:00,26.416
2022-09-29 11:00:00,19.558
2022-09-29 12:00:00,13.208
2022-09-29 13:00:00,4.3180000000000005
2022-09-29 14:00:00,3.8099999999999996
2022-09-29 15:00:00,1.016
2022-09-29 16:00:00,0.254
2022-09-29 17:00:00,1.778
2022-09-29 18:00:00,1.016
2022-09-29 19:00:00,1.5239999999999998
2022-09-29 20:00:00,0.254
2022-09-29 21:00:00,0.508
2022-09-29 22:00:00,0.0254
2022-09-29 23:00:00,0.254
2022-09-30 00:00:00,0.0254
2022-09-30 01:00:00,0.0
2022-09-30 02:00:00,0.0
2022-09-30 03:00:00,0.0
2022-09-30 04:00:00,0.0
2022-09-30 05:00:00,0.0
2022-09-30 06:00:00,0.0
2022-09-30 07:00:00,0.0
2022-09-30 08:00:00,0.0
2022-09-30 09:00:00,0.0
2022-09-30 10:00:00,0.0
2022-09-30 11:00:00,0.0
2022-09-30 12:00:00,0.0
2022-09-30 13:00:00,0.0
2022-09-30 14:00:00,0.0
2022-09-30 15:00:00,0.0
2022-09-30 16:00:00,0.0
2022-09-30 17:00:00,0.0
2022-09-30 18:00:00,0.0
2022-09-30 19:00:00,0.0
2022-09-30 20:00:00,0.0
2022-09-30 21:00:00,0.0
2022-09-30 22:00:00,0.0
2022-09-30 23:00:00,0.0
