mukey_int,mukey,muname,hsg,fc_mm_hr
1,323133,Immokalee fine sand,B,331.2
2,323139,"Ona fine sand, 0 to 2 percent slopes",B,32.4
3,323143,"Basinger fine sand, frequently ponded, 0 to 1 percent slopes",A,331.2
4,323148,"Pomello fine sand, 0 to 5 percent slopes",A,889.45
5,323151,St. Johns fine sand,B,331.2
6,323156,"Samsula-Hontoon-Basinger association, depressional",A,331.2
7,323157,Sanibel muck,A,331.2
8,323159,"Smyrna-Smyrna, wet, fine sand, 0 to 2 percent slopes",A,83.83
9,323176,Water,B,0.0
