time_min,rain_mm_hr,Pe_mm_hr,flooded_ha,lake_rise_m,mean_depth_m
49.0,0.0254,0.0,0.0,0.0,0.0
49.33333333333333,0.0254,0.0,0.0,0.0,0.0
49.666666666666664,0.0254,0.0,0.0,0.0,0.0
50.0,0.0254,0.0,0.0,0.0,0.0
50.333333333333336,0.0254,0.0,0.0,0.0,0.0
50.666666666666664,0.0254,0.0,0.0,0.0,0.0
51.0,0.0254,0.0,0.0,0.0,0.0
51.33333333333333,0.0254,0.0,0.0,0.0,0.0
51.66666666666667,0.0254,0.0,0.0,0.0,0.0
52.0,0.0254,0.0,0.0,0.0,0.0
52.333333333333336,0.0254,0.0,0.0,0.0,0.0
52.666666666666664,0.0254,0.0,0.0,0.0,0.0
53.0,0.0254,0.0,0.0,0.0,0.0
53.33333333333333,0.0254,0.0,0.0,0.0,0.0
53.66666666666667,0.0254,0.0,0.0,0.0,0.0
54.0,0.0254,0.0,0.0,0.0,0.0
54.333333333333336,0.0254,0.0,0.0,0.0,0.0
54.666666666666664,0.0254,0.0,0.0,0.0,0.0
55.0,0.0254,0.0,0.0,0.0,0.0
55.333333333333336,0.0254,0.0,0.0,0.0,0.0
55.66666666666667,0.0254,0.0,0.0,0.0,0.0
56.0,0.0254,0.0,0.0,0.0,0.0
56.333333333333336,0.0254,0.0,0.0,0.0,0.0
56.666666666666664,0.0254,0.0,0.0,0.0,0.0
57.0,0.0254,0.0,0.0,0.0,0.0
57.333333333333336,0.0254,0.0,0.0,0.0,0.0
57.66666666666667,0.0254,0.0,0.0,0.0,0.0
58.0,0.0254,0.0,0.0,0.0,0.0
58.333333333333336,0.0254,0.0,0.0,0.0,0.0
58.666666666666664,0.0254,0.0,0.0,0.0,0.0
59.0,0.0254,0.0,0.0,0.0,0.0
59.333333333333336,0.0254,0.0,0.0,0.0,0.0
59.66666666666667,0.0254,0.0,0.0,0.0,0.0
60.0,0.0254,0.0,0.0,0.0,0.0
60.33333333333333,0.02949222222222222,0.0,0.0,0.0,0.0
60.666666666666664,0.03358444444444444,0.0,0.0,0.0,0.0
61.0,0.03767666666666666,0.0,0.0,0.0,0.0
61.33333333333333,0.04176888888888888,0.0,0.0,0.0,0.0
61.66666666666666,0.0458611111111111,0.0,0.0,0.0,0.0
62.00000000000001,0.04995333333333333,0.0,0.0,0.0,0.0
62.333333333333336,0.054045555555555555,0.0,0.0,0.0,0.0
62.66666666666667,0.058137777777777774,0.0,0.0,0.0,0.0
63.0,0.062229999999999994,0.0,0.0,0.0,0.0
63.333333333333336,0.06632222222222221,0.0,0.0,0.0,0.0
63.666666666666664,0.07041444444444443,0.0,0.0,0.0,0.0
64.0,0.07450666666666667,0.0,0.0,0.0,0.0
64.33333333333333,0.07859888888888888,0.0,0.0,0.0,0.0
64.66666666666666,0.0826911111111111,0.0,0.0,0.0,0.0
65.0,0.08678333333333332,0.0,0.0,0.0,0.0
65.33333333333333,0.09087555555555556,0.0,0.0,0.0,0.0
65.66666666666667,0.09496777777777778,0.0,0.0,0.0,0.0
66.0,0.09905999999999998,0.0,0.0,0.0,0.0
66.33333333333334,0.10315222222222221,0.0,0.0,0.0,0.0
66.66666666666667,0.10724444444444443,0.0,0.0,0.0,0.0
67.0,0.11133666666666667,0.0,0.0,0.0,0.0
67.33333333333333,0.11542888888888889,0.0,0.0,0.0,0.0
