time_min,rain_mm_hr,Pe_mm_hr,flooded_ha,lake_rise_m,mean_depth_m,outflow_south_cms,outflow_south_cfs,outflow_total_cms,outflow_total_cfs
1117.0,4.792133333333334,1.7611737348488532,0.51,0.0,0.06693658977746964,0.005941087147220969,0.20980771027796438,0.01227814201683941,0.4335989018820788
1117.3333333333335,4.8147111111111105,1.7722885559123824,0.51,0.0,0.06695444881916046,0.00591062125749886,0.20873181652219502,0.012332099981904321,0.43550441123095657
1117.6666666666665,4.837288888888888,1.7834246591519332,0.51,0.0,0.06697236746549606,0.0059264968149363995,0.20929245707043448,0.012309648791415384,0.4347115541741969
1118.0,4.859866666666666,1.7945838862942765,0.51,0.0,0.06699036806821823,0.005939210532233119,0.20974143818265295,0.012356705074125784,0.43637333268122985
1118.3333333333333,4.882444444444444,1.805766851248336,0.51,0.0,0.06700844317674637,0.005955082015134394,0.2103019348398666,0.012482404440561368,0.44081236809709257
1118.6666666666667,4.905022222222222,1.8169729401051882,0.51,0.0,0.06702661514282227,0.006037502316758037,0.21321258306561505,0.012538050345938245,0.4427774865517054
1119.0,4.9276,1.8282011296832934,0.51,0.0,0.06704488396644592,0.006009843200445175,0.21223580967076125,0.012631313329620752,0.446071040841558
1119.3333333333333,4.950177777777777,1.8394495782558806,0.51,0.0,0.06706323474645615,0.0059801817405968904,0.21118832411465702,0.012571829188345873,0.44397037623767804
1119.6666666666667,4.972755555555556,1.8507197182771051,0.5125,0.0,0.06699857115745544,0.006033222307451069,0.21306143582094228,0.012734792908304371,0.44972539111889637
1120.0,4.995333333333333,1.8620078662934247,0.515,0.0,0.06693466007709503,0.006059708539396524,0.21399678915622644,0.012777991091752483,0.45125092200791145
1120.3333333333333,5.01791111111111,1.8733166825768421,0.515,0.0,0.06695329397916794,0.0060760596534237266,0.2145742238427629,0.012887189805041999,0.4551072418081167
1120.6666666666665,5.040488888888888,1.8846451439458178,0.515,0.0,0.06697192788124084,0.006047506467439234,0.21356587664567633,0.01292790885145223,0.4565452227163801
1121.0,5.063066666666666,1.8959942735818913,0.515,0.0,0.06699056178331375,0.006104307831265032,0.21557179976877525,0.012997734052078158,0.45901107872892455
1121.3333333333335,5.085644444444444,1.9073599787589046,0.515,0.0,0.06700920313596725,0.006049294606782496,0.21362902425014182,0.012995357428735588,0.4589271489885687
1121.6666666666665,5.108222222222222,1.9187443058399367,0.515,0.0,0.06702785938978195,0.006144957151263952,0.2170073183097411,0.013178485328353418,0.46539425582520244
1122.0,5.1308,1.9301497104606824,0.515,0.0,0.06704654544591904,0.0061043520690873265,0.21557336201419822,0.013141261229066004,0.4640796979260972
1122.3333333333333,5.153377777777777,1.9415749648032943,0.5175,0.0,0.06698290258646011,0.006132163689471781,0.21655552104458914,0.013254064374450536,0.46806330716440836
1122.6666666666667,5.175955555555555,1.9530198642314645,0.5175,0.0,0.06700174510478973,0.00612708565313369,0.21637619171472033,0.0133075242410996,0.4699512263171601
1123.0,5.198533333333333,1.9644852272904245,0.5175,0.0,0.06702069938182831,0.006175131420604885,0.21807291357923533,0.01333908076503576,0.4710656354930084
1123.3333333333333,5.221111111111111,1.9759722817980219,0.5175,0.0,0.06703981012105942,0.006206360994838178,0.21917577662441182,0.013397220841397939,0.47311883484771583
1123.6666666666667,5.243688888888888,1.9874785721185617,0.5175,0.0,0.06705910712480545,0.006164409569464624,0.21769427462277235,0.01350518678464141,0.476931619743576
1124.0,5.266266666666666,1.9990034843431204,0.5175,0.0,0.0670786052942276,0.006219297065399587,0.2196326100754668,0.013612382008432178,0.4807171869131799
1124.3333333333333,5.288844444444444,2.0105474277443136,0.5175,0.0,0.06709834188222885,0.006224914686754346,0.2198309946883237,0.0136263469221376,0.48121035365121273
