time_min,rain_mm_hr,Pe_mm_hr,flooded_ha,lake_rise_m,mean_depth_m
1308.0,3.7083999999999997,0.13283540027941854,0.0264,0.0,0.061731815338134766
1308.3333333333335,3.6971111111111115,0.13229947057880054,0.0264,0.0,0.06182268261909485
1308.6666666666665,3.6858222222222223,0.13176355366795178,0.0268,0.0,0.06174592301249504
1309.0,3.674533333333333,0.1312275983877953,0.027200000000000002,0.0,0.06167538836598396
1309.3333333333335,3.6632444444444445,0.13069165589740805,0.027600000000000003,0.0,0.06160717457532883
1309.6666666666667,3.6519555555555554,0.13015570061725157,0.028,0.0,0.061541687697172165
1310.0,3.640666666666667,0.12961977091663357,0.028,0.0,0.06163933500647545
1310.3333333333333,3.629377777777778,0.12908381563647708,0.0292,0.0,0.0612543560564518
1310.6666666666667,3.618088888888889,0.12854789872562833,0.0292,0.0,0.061348412185907364
1311.0,3.6068000000000007,0.12801196902501033,0.028800000000000003,0.0,0.06159673631191254
1311.3333333333333,3.5955111111111107,0.1274760265346231,0.0292,0.0,0.0615236796438694
1311.6666666666667,3.5842222222222224,0.12694010962377433,0.0292,0.0,0.0616067536175251
1312.0,3.5729333333333333,0.12640410318454087,0.0292,0.0,0.061685286462306976
1312.3333333333335,3.5616444444444446,0.12586822464299985,0.0296,0.0,0.06160274147987366
1312.6666666666665,3.5503555555555564,0.12533229494238185,0.0296,0.0,0.06167665868997574
1313.0,3.5390666666666664,0.12479635245199461,0.030000000000000002,0.0,0.06159470975399017
1313.3333333333333,3.527777777777778,0.12426040996160737,0.0304,0.0,0.061519693583250046
1313.6666666666667,3.516488888888889,0.12372445468145088,0.0308,0.0,0.06145079806447029
1314.0,3.5052,0.12318853777060212,0.0308,0.0,0.06153462827205658
1314.3333333333333,3.4939111111111116,0.12265263364952261,0.031200000000000002,0.0,0.06147442013025284
1314.6666666666667,3.482622222222222,0.12211666557959688,0.0316,0.0,0.06142285466194153
1315.0,3.471333333333334,0.12158074866874813,0.0316,0.0,0.06151989474892616
1315.3333333333333,3.4600444444444447,0.12104479338859164,0.0328,0.0,0.06120125204324722
1315.6666666666665,3.4487555555555556,0.12050886368797364,0.0332,0.0,0.061172567307949066
1316.0,3.4374666666666673,0.11997293398735565,0.033600000000000005,0.0,0.061146218329668045
1316.3333333333335,3.426177777777778,0.1194369914969684,0.033600000000000005,0.0,0.061253827065229416
1316.6666666666665,3.414888888888889,0.11890104900658116,0.033600000000000005,0.0,0.061360616236925125
1317.0,3.4036,0.11836511930596316,0.034,0.0,0.061330970376729965
1317.3333333333333,3.3923111111111113,0.11782918960534516,0.0344,0.0,0.06130388751626015
1317.6666666666667,3.3810222222222226,0.11729323432518868,0.034,0.0,0.06154010817408562
1318.0,3.369733333333334,0.11675731741433992,0.0344,0.0,0.06150568276643753
1318.3333333333333,3.358444444444445,0.11622137492395268,0.0344,0.0,0.06160224229097366
1318.6666666666667,3.347155555555556,0.1156854196437962,0.034800000000000005,0.0,0.06156498193740845
1319.0,3.335866666666667,0.11514950273294744,0.034800000000000005,0.0,0.061658769845962524
1319.3333333333333,3.3245777777777783,0.11461354745279095,0.0352,0.0,0.061615195125341415
1319.6666666666665,3.313288888888889,0.1140776305419422,0.0352,0.0,0.06170126050710678
1320.0,3.302,0.1135417008413242,0.0356,0.0,0.06165361776947975
1320.3333333333335,3.304822222222222,0.11367564809461328,0.0356,0.0,0.06173514202237129
1320.6666666666667,3.3076444444444446,0.11380968487628706,0.036000000000000004,0.0,0.06168340519070625
1321.0,3.310466666666667,0.11394364491934539,0.0368,0.0,0.061506837606430054
1321.3333333333333,3.313288888888889,0.1140776305419422,0.037200000000000004,0.0,0.06145961955189705
1321.6666666666667,3.3161111111111112,0.1142116417440775,0.0376,0.0,0.06141600385308266
1322.0,3.3189333333333337,0.11434560178713582,0.038,0.0,0.06137571483850479
1322.3333333333333,3.321755555555556,0.11447956183019414,0.038,0.0,0.061456046998500824
1322.6666666666667,3.324577777777778,0.11461354745279095,0.038,0.0,0.06153712421655655
1323.0,3.3274,0.11474755865492625,0.038400000000000004,0.0,0.06149986386299133
1323.3333333333335,3.3302222222222224,0.11488150590821533,0.0392,0.0,0.06135150417685509
1323.6666666666665,3.3330444444444445,0.11501550432058139,0.0396,0.0,0.06132519245147705
1324.0,3.335866666666667,0.11514950273294744,0.04,0.0,0.0613018274307251
1324.3333333333335,3.338688888888889,0.1152835011453135,0.04,0.0,0.061394866555929184
1324.6666666666667,3.3415111111111115,0.11541747397814106,0.04,0.0,0.06148897111415863
1325.0,3.3443333333333336,0.11555143402119938,0.04,0.0,0.061584096401929855
1325.3333333333333,3.3471555555555557,0.1156854196437962,0.04,0.0,0.061680108308792114
1325.6666666666667,3.349977777777778,0.11581945642546998,0.04,0.0,0.06177690625190735
1326.0,3.3528000000000002,0.11595342925829755,0.04,0.0,0.06187433376908302
1326.3333333333333,3.3556222222222223,0.11608740209112511,0.040400000000000005,0.0,0.06185504049062729
1326.6666666666667,3.358444444444445,0.11622137492395268,0.0408,0.0,0.06183670461177826
1327.0,3.361266666666667,0.11635534775678025,0.0412,0.0,0.06182149425148964
1327.3333333333335,3.364088888888889,0.11648933337937706,0.041600000000000005,0.0,0.061807360500097275
1327.6666666666665,3.3669111111111114,0.11662333179174311,0.041600000000000005,0.0,0.06190779432654381
1328.0,3.3697333333333335,0.11675731741433992,0.041600000000000005,0.0,0.062006156891584396
1328.3333333333333,3.3725555555555555,0.11689130303693673,0.0412,0.0,0.06222022697329521
1328.6666666666667,3.375377777777778,0.1170252758697643,0.041600000000000005,0.0,0.062198538333177567
1329.0,3.3782000000000005,0.11715927428213035,0.0424,0.0,0.062061093747615814
1329.3333333333333,3.3810222222222226,0.11729323432518868,0.0424,0.0,0.062152646481990814
1329.6666666666667,3.383844444444444,0.11742723273755473,0.0424,0.0,0.06223950907588005
1330.0,3.386666666666667,0.11756121836015154,0.042,0.0,0.062439192086458206
1330.3333333333333,3.389488888888889,0.11769519119297911,0.042,0.0,0.06251846253871918
1330.6666666666665,3.392311111111111,0.11782918960534516,0.042,0.0,0.06259436160326004
1331.0,3.3951333333333333,0.11796314964840349,0.0424,0.0,0.06254895031452179
1331.3333333333335,3.397955555555556,0.11809716085053878,0.0424,0.0,0.06262408196926117
1331.6666666666665,3.4007777777777783,0.1182311464731356,0.042800000000000005,0.0,0.0625821202993393
1332.0,3.4036,0.11836511930596316,0.0432,0.0,0.06254367530345917
1332.3333333333333,3.406422222222222,0.11849910492855997,0.0436,0.0,0.06250988692045212
1332.6666666666667,3.409244444444445,0.11863305218184905,0.044000000000000004,0.0,0.06248057261109352
1333.0,3.412066666666667,0.1187670505942151,0.0448,0.0,0.062345076352357864
1333.3333333333333,3.414888888888889,0.11890104900658116,0.0448,0.0,0.06243661418557167
1333.6666666666667,3.417711111111111,0.11903504741894722,0.0448,0.0,0.0625319629907608
1334.0,3.4205333333333336,0.11916903304154403,0.0448,0.0,0.06263013184070587
1334.3333333333333,3.4233555555555557,0.1193029802948331,0.045200000000000004,0.0,0.06261840462684631
1334.6666666666665,3.4261777777777778,0.1194369914969684,0.0448,0.0,0.06283185631036758
1335.0,3.429,0.11957098990933446,0.0444,0.0,0.06304827332496643
1335.3333333333335,3.4318222222222228,0.11970498832170051,0.044000000000000004,0.0,0.06326677650213242
1335.6666666666667,3.434644444444445,0.11983894836475883,0.044000000000000004,0.0,0.06336309760808945
1336.0,3.4374666666666664,0.11997293398735565,0.0444,0.0,0.06333377212285995
1336.3333333333333,3.440288888888889,0.12010691960995246,0.045200000000000004,0.0,0.06318321824073792
1336.6666666666667,3.4431111111111115,0.12024087965301078,0.045200000000000004,0.0,0.06326401978731155
1337.0,3.445933333333333,0.12037489085514608,0.0456,0.0,0.06322283297777176
1337.3333333333333,3.4487555555555556,0.12050886368797364,0.045200000000000004,0.0,0.06341195106506348
1337.6666666666667,3.451577777777778,0.12064284931057045,0.046,0.0,0.06324734538793564
1338.0,3.4544000000000006,0.12077682214339802,0.046400000000000004,0.0,0.06319934874773026
1338.3333333333335,3.457222222222222,0.12091082055576408,0.046400000000000004,0.0,0.0632648691534996
