time_min,rain_mm_hr,Pe_mm_hr,flooded_ha,mean_depth_m,outflow_total_cms,outflow_total_cfs,outflow_south_cms,outflow_south_cfs
803.6666666666666,3.194755555555555,1.2512476814663387,0.73,0.06375929713249207,0.034546077047252766,1.2199843471006173,0.009905656334012747,0.34981528173876
804.0,3.2004,1.2536048870970262,0.73,0.06379488110542297,0.034611426368655884,1.222292138781172,0.009926888160407543,0.3505650773183443
804.3333333333333,3.2060444444444443,1.2559620927277138,0.73,0.06383046507835388,0.034645418720629095,1.2234925684934004,0.009946253849193454,0.35124897080811207
804.6666666666667,3.211688888888889,1.2583181728587078,0.73,0.06386605650186539,0.03466528656531409,1.2241941954680975,0.009988584788516164,0.3527438752310118
805.0,3.2173333333333334,1.2606757877620112,0.73,0.0639016255736351,0.03476895123867507,1.2278550823084387,0.009946858044713736,0.3512703077916522
805.3333333333334,3.2229777777777775,1.2630329933926987,0.735,0.06384249031543732,0.03479571768593814,1.2288003313635998,0.009992674458771944,0.3528883007091936
805.6666666666666,3.228622222222222,1.2653899943870783,0.7375,0.06383103877305984,0.034852825369853235,1.2308170720887561,0.010000916663557291,0.3531793716985267
806.0,3.2342666666666666,1.2677465861088422,0.7375,0.06386671960353851,0.034894883046945324,1.2323023263379602,0.010050642304122448,0.354935417777393
806.3333333333333,3.239911111111111,1.2701042010121455,0.7375,0.06390241533517838,0.03491423974878671,1.2329859024564782,0.010019192704930902,0.3538247846168233
806.6666666666666,3.2455555555555557,1.272461406642833,0.7425,0.06384425610303879,0.03502609905353893,1.2369361802460113,0.01009162631817162,0.35638275593833535
807.0,3.2512000000000003,1.2748191238642903,0.7425,0.06387992203235626,0.0350244689389001,1.2368786132365754,0.010055508464574814,0.3551072647739202
807.3333333333334,3.2568444444444444,1.2771764318131318,0.745,0.0638689175248146,0.03508981034315184,1.2391861253253043,0.01010056002996862,0.35669824729033284
807.6666666666666,3.2624888888888885,1.279534149034589,0.745,0.06390457600355148,0.035184261923859594,1.2425216545625244,0.010127389105036855,0.35764570802764506
808.0,3.2681333333333336,1.28189248016497,0.7475,0.06389407068490982,0.0351493003881842,1.2412869984186088,0.01011991873383522,0.35738189410977067
808.3333333333333,3.2737777777777777,1.2842506066590431,0.7475,0.06393015384674072,0.03525718460423377,1.2450968971431344,0.010148125002160668,0.3583779900138034
808.6666666666666,3.2794222222222222,1.2866081192441925,0.75,0.06391976773738861,0.03533473582706392,1.2478355953120144,0.010161640821024776,0.3588552971022437
809.0,3.285066666666667,1.2889665526927274,0.75,0.06395581364631653,0.035315026536864025,1.247139567641392,0.010137675562873483,0.3580089712002082
809.3333333333334,3.2907111111111114,1.2913243722323386,0.75,0.06399186700582504,0.035448824442028126,1.2518646005228908,0.010246234014630318,0.3618426803564653
809.6666666666666,3.2963555555555555,1.2936827033627196,0.755,0.06393501907587051,0.03540747441206804,1.2504043366198594,0.010174376657232642,0.3593050593371736
810.0,3.302,1.2960411368112545,0.7575000000000001,0.06392492353916168,0.035515367480911664,1.2542145479781512,0.010227635502815247,0.3611858794912696
810.3333333333334,3.3076444444444446,1.2983992633053276,0.7575000000000001,0.06396084278821945,0.03553967822881532,1.2550730747471444,0.010231805499643087,0.36133314167824576
810.6666666666666,3.3132888888888887,1.3007575944357086,0.76,0.06395077705383301,0.03566180740563141,1.2593860299876516,0.010272630024701357,0.362774847533321
811.0,3.3189333333333337,1.3031168464294751,0.765,0.06389538198709488,0.03563469961250121,1.2584287264055964,0.010272826766595244,0.36278179541428107
811.3333333333334,3.3245777777777774,1.305475177559856,0.7675000000000001,0.06388586014509201,0.0357018779095597,1.260801107812728,0.010297209955751896,0.3636428804243915
811.6666666666667,3.3302222222222224,1.3078345318717766,0.7675000000000001,0.06392166763544083,0.035763352957474126,1.2629720806873115,0.01028096885420382,0.36306933079555165
812.0,3.3358666666666665,1.3101934769110812,0.77,0.06391224265098572,0.03587041316450268,1.2667528797804628,0.010374521370977163,0.3663731098596473
812.3333333333334,3.3415111111111115,1.312552319632232,0.7725,0.06390299648046494,0.03580813082862733,1.2645533977737256,0.010302324080839753,0.36382348421763167
812.6666666666666,3.3471555555555557,1.3149117762623064,0.7725,0.06393883377313614,0.03597560686785073,1.2704677638560882,0.010372221004217863,0.3662918730976526
813.0,3.3528,1.3172705166653031,0.775,0.06392968446016312,0.03598508346385643,1.2708024270010507,0.010398859158158302,0.367232591512613
813.3333333333334,3.3584444444444443,1.3196293593864539,0.775,0.06396548449993134,0.03602162393121944,1.2720928426438352,0.010366484057158232,0.36608927453332585
813.6666666666667,3.364088888888889,1.3219898391980678,0.7825,0.0638672411441803,0.036134294673502154,1.2760717761063265,0.01041154726408422,0.36768066816695505
814.0,3.3697333333333335,1.3243486819192185,0.7825,0.06390298157930374,0.03610655032616705,1.2750919928034916,0.010437224991619587,0.36858746941154824
814.3333333333334,3.375377777777778,1.3267085478219087,0.7875,0.0638502761721611,0.03621636072239198,1.2789699140030562,0.010463995859026909,0.3695328745627776
814.6666666666666,3.381022222222222,1.3290677998156752,0.79,0.0638420581817627,0.03632311349065276,1.282739855988355,0.010499916970729828,0.37080141784623266
815.0,3.3866666666666667,1.3314280749909813,0.79,0.0638776645064354,0.036193236574035836,1.2781532916411034,0.010452044662088156,0.3691108216282446
815.3333333333333,3.392311111111111,1.3337879408936715,0.795,0.06382588297128677,0.03642399775571903,1.2863025535438908,0.010497517650946975,0.37071668658789714
815.6666666666667,3.397955555555556,1.336147295205592,0.795,0.06386145204305649,0.036420907530327895,1.2861934231612706,0.010557215427979827,0.37282489567447924
816.0,3.4036,1.3385079796535138,0.795,0.0638970211148262,0.036435028285950466,1.286692093409855,0.010506953112781048,0.37104989709192887
816.3333333333334,3.4092444444444445,1.3408682548288198,0.795,0.06393256038427353,0.03653977537396713,1.2903912053990372,0.01056032138876617,0.37293458174786065
816.6666666666666,3.4148888888888886,1.3432278137770481,0.795,0.06396812200546265,0.036582180753157445,1.2918887386435294,0.010571490274742246,0.37332900760544
817.0,3.4205333333333336,1.345588395906816,0.8,0.06391618400812149,0.03660755413420702,1.2927847919832807,0.010571182938292623,0.3733181541109225
817.3333333333333,3.4261777777777773,1.3479491826728918,0.8,0.06395164877176285,0.03678296435282391,1.2989793512306707,0.010671006748452783,0.3768434020195855
817.6666666666667,3.4318222222222228,1.3503097648026596,0.8,0.06398709118366241,0.03669974702233958,1.2960405561698156,0.010580223752185702,0.3736374277413124
818.0,3.4374666666666664,1.3526699376598117,0.8,0.06402251869440079,0.036854190998383274,1.301494698850606,0.01066321856342256,0.37656836460169874
818.3333333333334,3.4431111111111106,1.355031542971119,0.8,0.06405795365571976,0.036834502739111485,1.3007994138809005,0.010669112671166658,0.3767765132484492
