time_s,level_rise_m,level_rise_cm
32.47,0.00016,0.016
32.53,0.00016,0.016
32.60,0.00016,0.016
32.67,0.00016,0.016
32.74,0.00017,0.017
32.81,0.00017,0.017
32.87,0.00017,0.017
32.94,0.00017,0.017
33.01,0.00017,0.017
33.08,0.00017,0.017
33.14,0.00017,0.017
33.21,0.00017,0.017
33.28,0.00017,0.017
33.35,0.00017,0.017
33.41,0.00017,0.017
33.48,0.00017,0.017
33.55,0.00017,0.017
33.62,0.00017,0.017
33.69,0.00017,0.017
33.75,0.00018,0.018
33.82,0.00018,0.018
33.89,0.00018,0.018
33.96,0.00018,0.018
34.02,0.00018,0.018
34.09,0.00018,0.018
34.16,0.00018,0.018
34.23,0.00018,0.018
34.30,0.00018,0.018
34.36,0.00018,0.018
34.43,0.00018,0.018
34.50,0.00018,0.018
34.57,0.00018,0.018
34.63,0.00018,0.018
34.70,0.00019,0.019
34.77,0.00019,0.019
34.84,0.00019,0.019
34.90,0.00019,0.019
34.97,0.00019,0.019
35.04,0.00019,0.019
35.11,0.00019,0.019
35.18,0.00019,0.019
35.24,0.00019,0.019
35.31,0.00019,0.019
35.38,0.00019,0.019
35.45,0.00019,0.019
35.51,0.00019,0.019
35.58,0.00019,0.019
35.65,0.00020,0.020
35.72,0.00020,0.020
35.79,0.00020,0.020
35.85,0.00020,0.020
35.92,0.00020,0.020
35.99,0.00020,0.020
36.06,0.00020,0.020
36.12,0.00020,0.020
36.19,0.00020,0.020
36.26,0.00020,0.020
36.33,0.00020,0.020
36.39,0.00020,0.020
36.46,0.00020,0.020
36.53,0.00021,0.021
36.60,0.00021,0.021
36.67,0.00021,0.021
36.73,0.00021,0.021
36.80,0.00021,0.021
36.87,0.00021,0.021
36.94,0.00021,0.021
37.00,0.00021,0.021
37.07,0.00021,0.021
37.14,0.00021,0.021
37.21,0.00021,0.021
37.28,0.00021,0.021
37.34,0.00021,0.021
37.41,0.00022,0.022
37.48,0.00022,0.022
37.55,0.00022,0.022
37.61,0.00022,0.022
37.68,0.00022,0.022
37.75,0.00022,0.022
37.82,0.00022,0.022
37.88,0.00022,0.022
37.95,0.00022,0.022
38.02,0.00022,0.022
38.09,0.00022,0.022
38.16,0.00022,0.022
38.22,0.00022,0.022
38.29,0.00022,0.022
38.36,0.00023,0.023
38.43,0.00023,0.023
38.49,0.00023,0.023
38.56,0.00023,0.023
38.63,0.00023,0.023
38.70,0.00023,0.023
38.77,0.00023,0.023
38.83,0.00023,0.023
38.90,0.00023,0.023
38.97,0.00023,0.023
39.04,0.00023,0.023
39.10,0.00023,0.023
39.17,0.00023,0.023
39.24,0.00024,0.024
39.31,0.00024,0.024
39.37,0.00024,0.024
39.44,0.00024,0.024
39.51,0.00024,0.024
39.58,0.00024,0.024
39.65,0.00024,0.024
39.71,0.00024,0.024
39.78,0.00024,0.024
39.85,0.00024,0.024
39.92,0.00024,0.024
39.98,0.00024,0.024
40.05,0.00024,0.024
40.12,0.00024,0.024
40.19,0.00025,0.025
40.26,0.00025,0.025
40.32,0.00025,0.025
40.39,0.00025,0.025
40.46,0.00025,0.025
40.53,0.00025,0.025
40.59,0.00025,0.025
40.66,0.00025,0.025
40.73,0.00025,0.025
40.80,0.00025,0.025
40.86,0.00025,0.025
40.93,0.00025,0.025
41.00,0.00025,0.025
41.07,0.00026,0.026
41.14,0.00026,0.026
41.20,0.00026,0.026
41.27,0.00026,0.026
41.34,0.00026,0.026
41.41,0.00026,0.026
41.47,0.00026,0.026
41.54,0.00026,0.026
41.61,0.00026,0.026
41.68,0.00026,0.026
41.75,0.00026,0.026
41.81,0.00026,0.026
41.88,0.00026,0.026
41.95,0.00027,0.027
42.02,0.00027,0.027
42.08,0.00027,0.027
42.15,0.00027,0.027
42.22,0.00027,0.027
42.29,0.00027,0.027
42.35,0.00027,0.027
42.42,0.00027,0.027
42.49,0.00027,0.027
42.56,0.00027,0.027
42.63,0.00027,0.027
42.69,0.00027,0.027
42.76,0.00027,0.027
42.83,0.00027,0.027
42.90,0.00028,0.028
42.96,0.00028,0.028
43.03,0.00028,0.028
43.10,0.00028,0.028
43.17,0.00028,0.028
43.24,0.00028,0.028
43.30,0.00028,0.028
43.37,0.00028,0.028
43.44,0.00028,0.028
43.51,0.00028,0.028
43.57,0.00028,0.028
43.64,0.00028,0.028
43.71,0.00028,0.028
43.78,0.00029,0.029
43.84,0.00029,0.029
43.91,0.00029,0.029
43.98,0.00029,0.029
44.05,0.00029,0.029
44.12,0.00029,0.029
44.18,0.00029,0.029
44.25,0.00029,0.029
44.32,0.00029,0.029
44.39,0.00029,0.029
44.45,0.00029,0.029
44.52,0.00029,0.029
44.59,0.00029,0.029
44.66,0.00029,0.029
44.73,0.00030,0.030
44.79,0.00030,0.030
44.86,0.00030,0.030
44.93,0.00030,0.030
45.00,0.00030,0.030
45.06,0.00030,0.030
45.13,0.00030,0.030
45.20,0.00030,0.030
45.27,0.00030,0.030
45.34,0.00030,0.030
45.40,0.00030,0.030
45.47,0.00030,0.030
45.54,0.00030,0.030
45.61,0.00031,0.031
45.67,0.00031,0.031
45.74,0.00031,0.031
45.81,0.00031,0.031
45.88,0.00031,0.031
45.94,0.00031,0.031
46.01,0.00031,0.031
46.08,0.00031,0.031
46.15,0.00031,0.031
46.22,0.00031,0.031
46.28,0.00031,0.031
46.35,0.00031,0.031
46.42,0.00031,0.031
46.49,0.00032,0.032
46.55,0.00032,0.032
46.62,0.00032,0.032
46.69,0.00032,0.032
46.76,0.00032,0.032
46.83,0.00032,0.032
46.89,0.00032,0.032
46.96,0.00032,0.032
47.03,0.00032,0.032
47.10,0.00032,0.032
47.16,0.00032,0.032
47.23,0.00032,0.032
47.30,0.00032,0.032
47.37,0.00032,0.032
47.43,0.00033,0.033
47.50,0.00033,0.033
47.57,0.00033,0.033
47.64,0.00033,0.033
47.71,0.00033,0.033
47.77,0.00033,0.033
47.84,0.00033,0.033
47.91,0.00033,0.033
47.98,0.00033,0.033
48.04,0.00033,0.033
48.11,0.00033,0.033
48.18,0.00033,0.033
48.25,0.00033,0.033
48.32,0.00034,0.034
48.38,0.00034,0.034
48.45,0.00034,0.034
48.52,0.00034,0.034
48.59,0.00034,0.034
48.65,0.00034,0.034
48.72,0.00034,0.034
48.79,0.00034,0.034
48.86,0.00034,0.034
48.92,0.00034,0.034
48.99,0.00034,0.034
49.06,0.00034,0.034
49.13,0.00034,0.034
49.20,0.00034,0.034
49.26,0.00035,0.035
49.33,0.00035,0.035
49.40,0.00035,0.035
49.47,0.00035,0.035
49.53,0.00035,0.035
49.60,0.00035,0.035
49.67,0.00035,0.035
49.74,0.00035,0.035
49.81,0.00035,0.035
49.87,0.00035,0.035
49.94,0.00035,0.035
50.01,0.00035,0.035
50.08,0.00035,0.035
50.14,0.00036,0.036
50.21,0.00036,0.036
50.28,0.00036,0.036
50.35,0.00036,0.036
50.41,0.00036,0.036
50.48,0.00036,0.036
50.55,0.00036,0.036
50.62,0.00036,0.036
50.69,0.00036,0.036
50.75,0.00036,0.036
50.82,0.00036,0.036
50.89,0.00036,0.036
50.96,0.00036,0.036
51.02,0.00036,0.036
51.09,0.00037,0.037
51.16,0.00037,0.037
51.23,0.00037,0.037
51.30,0.00037,0.037
51.36,0.00037,0.037
51.43,0.00037,0.037
51.50,0.00037,0.037
51.57,0.00037,0.037
51.63,0.00037,0.037
51.70,0.00037,0.037
51.77,0.00037,0.037
51.84,0.00037,0.037
51.90,0.00037,0.037
51.97,0.00038,0.038
52.04,0.00038,0.038
52.11,0.00038,0.038
52.18,0.00038,0.038
52.24,0.00038,0.038
52.31,0.00038,0.038
52.38,0.00038,0.038
52.45,0.00038,0.038
52.51,0.00038,0.038
52.58,0.00038,0.038
52.65,0.00038,0.038
52.72,0.00038,0.038
52.79,0.00038,0.038
52.85,0.00039,0.039
52.92,0.00039,0.039
52.99,0.00039,0.039
53.06,0.00039,0.039
53.12,0.00039,0.039
53.19,0.00039,0.039
53.26,0.00039,0.039
53.33,0.00039,0.039
53.39,0.00039,0.039
53.46,0.00039,0.039
53.53,0.00039,0.039
53.60,0.00039,0.039
53.67,0.00039,0.039
53.73,0.00039,0.039
53.80,0.00040,0.040
53.87,0.00040,0.040
53.94,0.00040,0.040
54.00,0.00040,0.040
54.07,0.00040,0.040
54.14,0.00040,0.040
54.21,0.00040,0.040
54.28,0.00040,0.040
54.34,0.00040,0.040
54.41,0.00040,0.040
54.48,0.00040,0.040
54.55,0.00040,0.040
54.61,0.00040,0.040
54.68,0.00041,0.041
54.75,0.00041,0.041
54.82,0.00041,0.041
54.88,0.00041,0.041
54.95,0.00041,0.041
55.02,0.00041,0.041
55.09,0.00041,0.041
55.16,0.00041,0.041
55.22,0.00041,0.041
55.29,0.00041,0.041
55.36,0.00041,0.041
55.43,0.00041,0.041
55.49,0.00041,0.041
55.56,0.00041,0.041
55.63,0.00042,0.042
55.70,0.00042,0.042
55.77,0.00042,0.042
55.83,0.00042,0.042
55.90,0.00042,0.042
55.97,0.00042,0.042
56.04,0.00042,0.042
56.10,0.00042,0.042
56.17,0.00042,0.042
56.24,0.00042,0.042
56.31,0.00042,0.042
56.37,0.00042,0.042
56.44,0.00042,0.042
56.51,0.00043,0.043
56.58,0.00043,0.043
56.65,0.00043,0.043
56.71,0.00043,0.043
56.78,0.00043,0.043
56.85,0.00043,0.043
56.92,0.00043,0.043
56.98,0.00043,0.043
57.05,0.00043,0.043
57.12,0.00043,0.043
57.19,0.00043,0.043
57.26,0.00043,0.043
57.32,0.00043,0.043
57.39,0.00043,0.043
57.46,0.00044,0.044
57.53,0.00044,0.044
57.59,0.00044,0.044
57.66,0.00044,0.044
57.73,0.00044,0.044
57.80,0.00044,0.044
57.86,0.00044,0.044
57.93,0.00044,0.044
58.00,0.00044,0.044
58.07,0.00044,0.044
58.14,0.00044,0.044
58.20,0.00044,0.044
58.27,0.00044,0.044
58.34,0.00045,0.045
58.41,0.00045,0.045
58.47,0.00045,0.045
58.54,0.00045,0.045
58.61,0.00045,0.045
58.68,0.00045,0.045
58.75,0.00045,0.045
58.81,0.00045,0.045
58.88,0.00045,0.045
58.95,0.00045,0.045
59.02,0.00045,0.045
59.08,0.00045,0.045
59.15,0.00045,0.045
59.22,0.00045,0.045
59.29,0.00046,0.046
59.35,0.00046,0.046
59.42,0.00046,0.046
59.49,0.00046,0.046
59.56,0.00046,0.046
59.63,0.00046,0.046
59.69,0.00046,0.046
59.76,0.00046,0.046
59.83,0.00046,0.046
59.90,0.00046,0.046
59.96,0.00046,0.046
60.03,0.00046,0.046
60.10,0.00046,0.046
60.17,0.00047,0.047
60.24,0.00047,0.047
60.30,0.00047,0.047
60.37,0.00047,0.047
60.44,0.00047,0.047
60.51,0.00047,0.047
60.57,0.00047,0.047
60.64,0.00047,0.047
60.71,0.00047,0.047
60.78,0.00047,0.047
60.84,0.00047,0.047
60.91,0.00047,0.047
60.98,0.00047,0.047
61.05,0.00048,0.048
61.12,0.00048,0.048
61.18,0.00048,0.048
61.25,0.00048,0.048
61.32,0.00048,0.048
61.39,0.00048,0.048
61.45,0.00048,0.048
61.52,0.00048,0.048
61.59,0.00048,0.048
61.66,0.00048,0.048
61.73,0.00048,0.048
61.79,0.00048,0.048
61.86,0.00048,0.048
61.93,0.00048,0.048
62.00,0.00049,0.049
62.06,0.00049,0.049
62.13,0.00049,0.049
62.20,0.00049,0.049
62.27,0.00049,0.049
62.33,0.00049,0.049
62.40,0.00049,0.049
62.47,0.00049,0.049
62.54,0.00049,0.049
62.61,0.00049,0.049
62.67,0.00049,0.049
62.74,0.00049,0.049
62.81,0.00049,0.049
62.88,0.00050,0.050
62.94,0.00050,0.050
63.01,0.00050,0.050
63.08,0.00050,0.050
63.15,0.00050,0.050
63.22,0.00050,0.050
63.28,0.00050,0.050
63.35,0.00050,0.050
63.42,0.00050,0.050
63.49,0.00050,0.050
63.55,0.00050,0.050
63.62,0.00050,0.050
63.69,0.00050,0.050
63.76,0.00050,0.050
63.82,0.00051,0.051
63.89,0.00051,0.051
63.96,0.00051,0.051
64.03,0.00051,0.051
64.10,0.00051,0.051
64.16,0.00051,0.051
64.23,0.00051,0.051
64.30,0.00051,0.051
64.37,0.00051,0.051
64.43,0.00051,0.051
64.50,0.00051,0.051
64.57,0.00051,0.051
64.64,0.00051,0.051
64.71,0.00052,0.052
64.77,0.00052,0.052
64.84,0.00052,0.052
64.91,0.00052,0.052
64.98,0.00052,0.052
65.04,0.00052,0.052
65.11,0.00052,0.052
65.18,0.00052,0.052
65.25,0.00052,0.052
65.31,0.00052,0.052
65.38,0.00052,0.052
65.45,0.00052,0.052
65.52,0.00052,0.052
65.59,0.00052,0.052
65.65,0.00053,0.053
65.72,0.00053,0.053
65.79,0.00053,0.053
65.86,0.00053,0.053
65.92,0.00053,0.053
65.99,0.00053,0.053
66.06,0.00053,0.053
66.13,0.00053,0.053
66.20,0.00053,0.053
66.26,0.00053,0.053
66.33,0.00053,0.053
66.40,0.00053,0.053
66.47,0.00053,0.053
66.53,0.00054,0.054
66.60,0.00054,0.054
66.67,0.00054,0.054
66.74,0.00054,0.054
66.80,0.00054,0.054
66.87,0.00054,0.054
66.94,0.00054,0.054
67.01,0.00054,0.054
67.08,0.00054,0.054
67.14,0.00054,0.054
67.21,0.00054,0.054
67.28,0.00054,0.054
67.35,0.00054,0.054
67.41,0.00054,0.054
67.48,0.00055,0.055
67.55,0.00055,0.055
67.62,0.00055,0.055
67.69,0.00055,0.055
67.75,0.00055,0.055
67.82,0.00055,0.055
67.89,0.00055,0.055
67.96,0.00055,0.055
68.02,0.00055,0.055
68.09,0.00055,0.055
68.16,0.00055,0.055
68.23,0.00055,0.055
68.30,0.00055,0.055
68.36,0.00056,0.056
68.43,0.00056,0.056
68.50,0.00056,0.056
68.57,0.00056,0.056
68.63,0.00056,0.056
68.70,0.00056,0.056
68.77,0.00056,0.056
68.84,0.00056,0.056
68.90,0.00056,0.056
68.97,0.00056,0.056
69.04,0.00056,0.056
69.11,0.00056,0.056
69.18,0.00056,0.056
69.24,0.00057,0.057
69.31,0.00057,0.057
69.38,0.00057,0.057
69.45,0.00057,0.057
69.51,0.00057,0.057
69.58,0.00057,0.057
69.65,0.00057,0.057
69.72,0.00057,0.057
69.79,0.00057,0.057
69.85,0.00057,0.057
69.92,0.00057,0.057
69.99,0.00057,0.057
70.06,0.00057,0.057
70.12,0.00057,0.057
70.19,0.00058,0.058
70.26,0.00058,0.058
70.33,0.00058,0.058
70.39,0.00058,0.058
70.46,0.00058,0.058
70.53,0.00058,0.058
70.60,0.00058,0.058
70.67,0.00058,0.058
70.73,0.00058,0.058
70.80,0.00058,0.058
70.87,0.00058,0.058
70.94,0.00058,0.058
71.00,0.00058,0.058
71.07,0.00059,0.059
71.14,0.00059,0.059
71.21,0.00059,0.059
71.28,0.00059,0.059
71.34,0.00059,0.059
71.41,0.00059,0.059
71.48,0.00059,0.059
71.54,0.00059,0.059
71.61,0.00059,0.059
71.68,0.00059,0.059
71.75,0.00059,0.059
71.81,0.00059,0.059
71.88,0.00059,0.059
71.95,0.00059,0.059
72.01,0.00060,0.060
72.08,0.00060,0.060
72.14,0.00060,0.060
72.21,0.00060,0.060
72.28,0.00060,0.060
72.34,0.00060,0.060
72.41,0.00060,0.060
72.47,0.00060,0.060
72.54,0.00060,0.060
72.61,0.00060,0.060
72.67,0.00060,0.060
72.74,0.00060,0.060
72.80,0.00060,0.060
72.87,0.00060,0.060
72.93,0.00061,0.061
73.00,0.00061,0.061
73.06,0.00061,0.061
73.13,0.00061,0.061
73.19,0.00061,0.061
73.26,0.00061,0.061
73.32,0.00061,0.061
73.39,0.00061,0.061
73.45,0.00061,0.061
73.52,0.00061,0.061
73.58,0.00061,0.061
73.65,0.00061,0.061
73.71,0.00061,0.061
73.78,0.00061,0.061
73.84,0.00062,0.062
73.91,0.00062,0.062
73.97,0.00062,0.062
74.04,0.00062,0.062
74.10,0.00062,0.062
74.17,0.00062,0.062
74.23,0.00062,0.062
74.30,0.00062,0.062
74.36,0.00062,0.062
74.43,0.00062,0.062
74.50,0.00062,0.062
74.56,0.00062,0.062
74.63,0.00062,0.062
74.69,0.00062,0.062
74.76,0.00063,0.063
74.82,0.00063,0.063
74.89,0.00063,0.063
74.95,0.00063,0.063
75.02,0.00063,0.063
75.08,0.00063,0.063
75.15,0.00063,0.063
75.22,0.00063,0.063
75.28,0.00063,0.063
75.35,0.00063,0.063
75.41,0.00063,0.063
75.48,0.00063,0.063
75.55,0.00063,0.063
75.61,0.00063,0.063
75.68,0.00064,0.064
75.74,0.00064,0.064
75.81,0.00064,0.064
75.88,0.00064,0.064
75.94,0.00064,0.064
76.01,0.00064,0.064
76.07,0.00064,0.064
76.14,0.00064,0.064
76.21,0.00064,0.064
76.27,0.00064,0.064
76.34,0.00064,0.064
76.41,0.00064,0.064
76.47,0.00064,0.064
76.54,0.00065,0.065
76.60,0.00065,0.065
76.67,0.00065,0.065
76.74,0.00065,0.065
76.80,0.00065,0.065
76.87,0.00065,0.065
76.93,0.00065,0.065
77.00,0.00065,0.065
77.06,0.00065,0.065
77.13,0.00065,0.065
77.20,0.00065,0.065
77.26,0.00065,0.065
77.33,0.00065,0.065
77.39,0.00065,0.065
77.46,0.00066,0.066
77.52,0.00066,0.066
77.59,0.00066,0.066
77.65,0.00066,0.066
77.72,0.00066,0.066
77.78,0.00066,0.066
77.85,0.00066,0.066
77.91,0.00066,0.066
77.97,0.00066,0.066
78.04,0.00066,0.066
78.10,0.00066,0.066
78.17,0.00066,0.066
78.23,0.00066,0.066
78.30,0.00066,0.066
78.36,0.00066,0.066
78.42,0.00067,0.067
78.49,0.00067,0.067
78.55,0.00067,0.067
78.61,0.00067,0.067
78.68,0.00067,0.067
78.74,0.00067,0.067
78.80,0.00067,0.067
78.87,0.00067,0.067
78.93,0.00067,0.067
78.99,0.00067,0.067
79.06,0.00067,0.067
79.12,0.00067,0.067
79.18,0.00067,0.067
79.25,0.00067,0.067
79.31,0.00068,0.068
79.37,0.00068,0.068
79.43,0.00068,0.068
79.50,0.00068,0.068
79.56,0.00068,0.068
79.62,0.00068,0.068
79.68,0.00068,0.068
79.75,0.00068,0.068
79.81,0.00068,0.068
79.87,0.00068,0.068
79.93,0.00068,0.068
79.99,0.00068,0.068
80.06,0.00068,0.068
80.12,0.00068,0.068
80.18,0.00068,0.068
80.24,0.00069,0.069
80.31,0.00069,0.069
80.37,0.00069,0.069
80.43,0.00069,0.069
80.49,0.00069,0.069
80.55,0.00069,0.069
80.61,0.00069,0.069
80.68,0.00069,0.069
80.74,0.00069,0.069
80.80,0.00069,0.069
80.86,0.00069,0.069
80.92,0.00069,0.069
80.99,0.00069,0.069
81.05,0.00069,0.069
81.11,0.00069,0.069
81.17,0.00070,0.070
81.23,0.00070,0.070
81.29,0.00070,0.070
81.36,0.00070,0.070
81.42,0.00070,0.070
81.48,0.00070,0.070
81.54,0.00070,0.070
81.60,0.00070,0.070
81.66,0.00070,0.070
81.72,0.00070,0.070
81.78,0.00070,0.070
81.85,0.00070,0.070
81.91,0.00070,0.070
81.97,0.00070,0.070
82.03,0.00070,0.070
82.09,0.00071,0.071
82.15,0.00071,0.071
82.21,0.00071,0.071
82.27,0.00071,0.071
82.33,0.00071,0.071
82.39,0.00071,0.071
82.45,0.00071,0.071
82.51,0.00071,0.071
82.57,0.00071,0.071
82.63,0.00071,0.071
82.69,0.00071,0.071
82.75,0.00071,0.071
82.81,0.00071,0.071
82.87,0.00071,0.071
82.93,0.00071,0.071
82.99,0.00072,0.072
83.05,0.00072,0.072
83.11,0.00072,0.072
83.17,0.00072,0.072
83.22,0.00072,0.072
83.28,0.00072,0.072
83.34,0.00072,0.072
83.40,0.00072,0.072
83.46,0.00072,0.072
83.52,0.00072,0.072
83.58,0.00072,0.072
