time_min,cumulative_depth_mm,incremental_depth_mm
0.0,0.0,0.0
30.0,0.8826499999999997,0.8826499999999997
60.0,1.7652999999999994,0.8826499999999997
90.0,2.64795,0.8826500000000004
120.0,3.530599999999999,0.882649999999999
150.0,4.501515,0.9709150000000015
180.0,5.8254899999999985,1.3239749999999981
210.0,7.149465,1.3239750000000017
240.0,8.473439999999998,1.3239749999999981
270.0,9.797414999999999,1.3239750000000008
300.0,11.47445,1.677035
330.0,13.681074999999998,2.206624999999999
360.0,15.8877,2.2066250000000025
390.0,18.094324999999998,2.206624999999997
420.0,20.300950000000004,2.206625000000006
450.0,23.1695625,2.8686124999999976
480.0,26.479499999999994,3.309937499999993
510.0,29.7894375,3.3099375000000038
540.0,33.099374999999995,3.3099374999999966
570.0,36.409312499999984,3.3099374999999895
600.0,42.01414,5.604827500000013
630.0,48.19268999999999,6.178549999999994
660.0,54.37123999999998,6.178549999999987
690.0,60.549789999999994,6.1785500000000155
720.0,66.72833999999999,6.178549999999994
750.0,70.0382775,3.309937500000018
780.0,73.348215,3.3099374999999895
810.0,76.6581525,3.3099375000000038
840.0,79.96809,3.3099375000000038
870.0,83.0132325,3.045142499999997
900.0,84.99919499999999,1.9859624999999852
930.0,86.9851575,1.9859625000000136
960.0,88.97111999999998,1.9859624999999852
990.0,90.9570825,1.9859625000000136
1020.0,92.67824999999999,1.7211674999999929
1050.0,94.00222499999998,1.3239749999999901
1080.0,95.3262,1.3239750000000186
1110.0,96.650175,1.3239750000000043
1140.0,97.97415,1.3239749999999901
1170.0,99.03332999999999,1.0591799999999978
1200.0,99.91597999999999,0.8826499999999982
1230.0,100.79862999999999,0.8826499999999982
1260.0,101.68127999999999,0.8826499999999982
1290.0,102.56392999999998,0.8826499999999982
1320.0,103.27004999999998,0.7061199999999985
1350.0,103.93203749999999,0.6619875000000093
1380.0,104.594025,0.6619875000000093
1410.0,105.2560125,0.6619874999999951
1440.0,105.91799999999999,0.6619874999999951
