time_min,cumulative_depth_mm,incremental_depth_mm
0,0.0,0.0
30,3.5009666666666654,3.5009666666666654
60,7.001933333333331,3.5009666666666654
90,11.553189999999997,4.551256666666666
120,16.804639999999996,5.251449999999998
150,22.75628333333333,5.951643333333333
180,31.5087,8.752416666666672
210,40.261116666666666,8.752416666666665
240,52.514499999999984,12.253383333333318
270,65.64312499999998,13.128625
300,83.32300666666666,17.679881666666674
330,107.82977333333329,24.506766666666636
360,132.33653999999999,24.506766666666692
390,145.46516499999998,13.128625
420,158.59378999999998,13.128625
450,168.57154499999996,9.977754999999974
480,176.44871999999995,7.877174999999994
510,183.80074999999997,7.352030000000013
540,189.05219999999997,5.2514500000000055
570,194.30364999999998,5.2514500000000055
600,198.1547133333333,3.8510633333333146
630,201.65567999999996,3.5009666666666703
660,204.80654999999996,3.1508699999999976
690,207.43227499999998,2.625725000000017
720,210.05799999999996,2.6257249999999885
