datetime_utc,mrms_mm
2022-09-28 00:00:00+00:00,0.0
2022-09-28 01:00:00+00:00,0.0
2022-09-28 02:00:00+00:00,0.0
2022-09-28 03:00:00+00:00,0.0
2022-09-28 04:00:00+00:00,1.0333333015441895
2022-09-28 05:00:00+00:00,1.6611109972000122
2022-09-28 06:00:00+00:00,1.5777778625488281
2022-09-28 07:00:00+00:00,1.0499999523162842
2022-09-28 08:00:00+00:00,0.0
2022-09-28 09:00:00+00:00,0.4333333373069763
2022-09-28 10:00:00+00:00,1.677777886390686
2022-09-28 11:00:00+00:00,3.0888888835906982
2022-09-28 12:00:00+00:00,2.7166666984558105
2022-09-28 13:00:00+00:00,2.383333444595337
2022-09-28 14:00:00+00:00,3.75
2022-09-28 15:00:00+00:00,3.355555534362793
2022-09-28 16:00:00+00:00,
2022-09-28 17:00:00+00:00,2.883333444595337
2022-09-28 18:00:00+00:00,1.0499999523162842
2022-09-28 19:00:00+00:00,4.716667175292969
2022-09-28 20:00:00+00:00,7.605556011199951
2022-09-28 21:00:00+00:00,4.783333778381348
2022-09-28 22:00:00+00:00,12.311111450195312
2022-09-28 23:00:00+00:00,10.48888874053955
2022-09-29 00:00:00+00:00,11.95555591583252
2022-09-29 01:00:00+00:00,3.355555534362793
2022-09-29 02:00:00+00:00,9.55555534362793
2022-09-29 03:00:00+00:00,18.494443893432617
2022-09-29 04:00:00+00:00,15.466668128967285
2022-09-29 05:00:00+00:00,16.705554962158203
2022-09-29 06:00:00+00:00,10.455554962158203
2022-09-29 07:00:00+00:00,18.161109924316406
2022-09-29 08:00:00+00:00,52.122222900390625
2022-09-29 09:00:00+00:00,78.0666732788086
2022-09-29 10:00:00+00:00,32.57221984863281
2022-09-29 11:00:00+00:00,19.955556869506836
2022-09-29 12:00:00+00:00,8.533332824707031
2022-09-29 13:00:00+00:00,5.727777481079102
2022-09-29 14:00:00+00:00,1.211111068725586
2022-09-29 15:00:00+00:00,0.9222222566604614
2022-09-29 16:00:00+00:00,0.15000000596046448
2022-09-29 17:00:00+00:00,2.0444443225860596
2022-09-29 18:00:00+00:00,2.2555553913116455
2022-09-29 19:00:00+00:00,0.9666666388511658
2022-09-29 20:00:00+00:00,0.8111111521720886
2022-09-29 21:00:00+00:00,0.0
2022-09-29 22:00:00+00:00,0.0
2022-09-29 23:00:00+00:00,0.0
2022-09-30 00:00:00+00:00,0.0
2022-09-30 01:00:00+00:00,0.0
2022-09-30 02:00:00+00:00,0.0
2022-09-30 03:00:00+00:00,0.0
2022-09-30 04:00:00+00:00,0.0
2022-09-30 05:00:00+00:00,0.0
2022-09-30 06:00:00+00:00,0.0
2022-09-30 07:00:00+00:00,0.0
2022-09-30 08:00:00+00:00,0.0
2022-09-30 09:00:00+00:00,0.0
2022-09-30 10:00:00+00:00,0.0
2022-09-30 11:00:00+00:00,0.0
2022-09-30 12:00:00+00:00,0.0
2022-09-30 13:00:00+00:00,0.0
2022-09-30 14:00:00+00:00,0.0
2022-09-30 15:00:00+00:00,0.0
2022-09-30 16:00:00+00:00,0.0
2022-09-30 17:00:00+00:00,0.0
2022-09-30 18:00:00+00:00,0.0
2022-09-30 19:00:00+00:00,0.0
2022-09-30 20:00:00+00:00,0.0
2022-09-30 21:00:00+00:00,0.0
2022-09-30 22:00:00+00:00,0.0
2022-09-30 23:00:00+00:00,0.0
