date,cloud_pct,tile,status
20151116,15.102992,17RMM,ok
20160713,19.828846,17RMM,ok
20160822,12.348595,17RMM,ok
20160911,19.85352,17RMM,ok
20161021,4.549885,17RMM,ok
20161110,1.080014,17RMM,ok
20161120,0.483303,17RMM,ok
20170310,13.628353,17RMM,ok
20170330,14.768421,17RMM,ok
20170509,0.552402,17RMM,ok
20170529,16.664693,17RMM,ok
20170817,18.956762,17RMM,ok
20170926,16.273178,17RMM,ok
20171031,0.440437,17RMM,ok
20171120,19.335193,17RMM,ok
20171130,4.579868,17RMM,ok
20171210,0.590041,17RMM,ok
20171230,14.85987,17RMM,ok
20180104,0.444895,17RMM,ok
20180124,0.680129,17RMM,ok
20180218,0.385592,17RMM,ok
20180228,18.601037,17RMM,ok
20180305,1.26104,17RMM,ok
20180315,0.928765,17RMM,ok
20180325,6.116114,17RMM,ok
20180404,8.346227,17RMM,ok
20180419,2.940276,17RMM,ok
20180424,2.893205,17RMM,ok
20180429,18.350594,17RMM,ok
20180509,0.999847,17RMM,ok
20180524,19.459046,17RMM,ok
20180608,18.223831,17RMM,ok
20180817,16.996859,17RMM,ok
20180916,18.591114,17RMM,ok
20180926,13.112891,17RMM,ok
20181016,7.844453,17RMM,ok
20181021,8.964451,17RMM,ok
20181031,4.420801,17RMM,ok
20181205,3.238176,17RMM,ok
20190129,0.462519,17RMM,ok
20190208,1.204256,17RMM,ok
20190325,12.667326,17RMM,ok
20190424,0.667865,17RMM,ok
20190429,8.597271,17RMM,ok
20190519,10.35451,17RMM,ok
20190524,3.91815,17RMM,ok
20190529,1.685991,17RMM,ok
20190623,16.390846,17RMM,ok
20190827,15.276066,17RMM,ok
20191011,5.947766,17RMM,ok
20191110,0.773652,17RMM,ok
20191120,0.467694,17RMM,ok
20191130,0.401147,17RMM,ok
20191210,15.02158,17RMM,ok
20191215,0.519223,17RMM,ok
20191225,1.113433,17RMM,ok
20200109,14.13055,17RMM,ok
20200203,0.443651,17RMM,ok
20200208,0.49656,17RMM,ok
20200223,3.114986,17RMM,ok
20200228,0.529515,17RMM,ok
20200314,6.466367,17RMM,ok
20200324,16.440707,17RMM,ok
20200329,2.973127,17RMM,ok
20200403,3.082058,17RMM,ok
20200408,4.938264,17RMM,ok
20200503,0.687167,17RMM,ok
20200508,9.303176,17RMM,ok
20200622,10.563733,17RMM,ok
20200627,18.935465,17RMM,ok
20200712,19.006172,17RMM,ok
20200727,12.933951,17RMM,ok
20200801,3.680731,17RMM,ok
20200905,14.286092,17RMM,ok
20200925,18.818778,17RMM,ok
20201015,17.381297,17RMM,ok
20201030,0.991952,17RMM,ok
20201124,13.210503,17RMM,ok
20201209,0.482097,17RMM,ok
20201219,15.586979,17RMM,ok
20201229,7.703578,17RMM,ok
20210118,14.120871,17RMM,ok
20210128,0.529114,17RMM,ok
20210202,0.480819,17RMM,ok
20210222,9.900473,17RMM,ok
20210227,17.124099,17RMM,ok
20210304,6.691888,17RMM,ok
20210309,14.246891,17RMM,ok
20210314,3.124994,17RMM,ok
20210319,5.862593,17RMM,ok
20210324,1.576078,17RMM,ok
20210408,6.636125,17RMM,ok
20210413,0.512713,17RMM,ok
20210428,19.09684,17RMM,ok
20210503,4.753068,17RMM,ok
20210508,0.679283,17RMM,ok
20210523,17.320485,17RMM,ok
20210528,16.090213,17RMM,ok
20210722,18.380325,17RMM,ok
20210806,10.975305,17RMM,ok
20210821,3.782717,17RMM,ok
20211020,15.794791,17RMM,ok
20211030,2.401764,17RMM,ok
20211124,10.270814,17RMM,ok
20211129,0.515774,17RMM,ok
20211204,2.072034,17RMM,ok
